Rbr IJ;Naziv izborne jedinice;Rbr.županije;Županija;Oznaka Gr/Op/Dr;Grad/opæina/država;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;AUTOHTONA - HRVATSKA STRANKA PRAVA - A - HSP;MARKO PILAŠ, dr. med. dent.;FILIP KOVAÈEVIÆ;IVANKA ÈEPLE;DALIBOR FUÆAK;NIKOLA TOMLJENOVIÆ;ROSANO VOSILLA;KREŠIMIR ŠIKIÆ;EDO TURK;ANTONIO SALVI;IVICA ŠIMIÆ;VEDRAN VESEL;SANJIN KOSIÆ;FRANJO OŠTARÈEVIÆ;DANIJEL KESTELI;"""BANDIÆ MILAN 365 - STRANKA RADA I SOLIDARNOSTI"", ISTARSKI DEMOKRATI - DEMOCRATICI ISTRIANI - ID - DI, DEMOKRATSKA PRIGORSKO - ZAGREBAÈKA STRANKA - DPS, DEMOKRATSKA STRANKA ŽENA - DSŽ, HRVATSKA EUROPSKA STRANKA - HES, HRVATSKA RADNIÈKA STRANKA - HRS, HRVATSKA STRANKA ZELENIH - EKO SAVEZ - ZELENI, MEÐIMURSKA STRANKA - MS, NEZAVISNI SELJACI HRVATSKE - NSH, NOVI VAL - STRANKA RAZVOJA - NOVI VAL, STRANKA UMIROVLJENIKA - SU, UMIROVLJENIÈKA DEMOKRATSKA UNIJA - UDU, ZELENI SAVEZ - ZELENI, ZELENA STRANKA - ZS";DAMIR KAJIN;BRUNO POROPAT;dr. sc. KATARINA TOKOVIÆ, dipl. oec.;mr. sc. JOSIP-ANTON RUPNIK, dipl. oec.;LIDIJA STIPLOŠEK;VILI JELETIÆ;FRANE MILAT;RODOLJUB KOSIÆ;ELIZABETA RUBINIÆ;MARIJA TURINA;LILIJANA VRANJICAN, prof.;MONIKA DEROSI;MILAN POPADIÆ, prof.;BRANKO RUŽIÆ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA SELJAÈKA STRANKA - HSS, HRVATSKA STRANKA PRAVA DR. ANTE STARÈEVIÆ - HSP AS, BLOK UMIROVLJENICI ZAJEDNO - BUZ, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS, HRAST - POKRET ZA USPJEŠNU HRVATSKU, HRVATSKA DEMOKRŠÆANSKA STRANKA - HDS, ZAGORSKA DEMOKRATSKA STRANKA - ZDS;OLEG BUTKOVIÆ;ANTON KLIMAN;LUCIAN VUKELIÆ;DARIO KONTA;TOMISLAVA ZEÈEVIÆ PEDIÆ;MIRIAM KERVATIN;IVAN KIRIN;SUNÈANA GLAVAK;DOBRICA RONÈEVIÆ;JOSIP BORIÆ;ZRINKO KAJFEŠ;IVAN JAKŠIÆ;DINKO BEAKOVIÆ;BRANKA MALNAR;HRVATSKA KONZERVATIVNA STRANKA - HKS, HRVATSKA STRANKA PRAVA - HSP, OBITELJSKA STRANKA - OS;MILE BIONDIÆ;DALIBOR JUKIÆ;ALEKSANDRA BURDA;IVAN IVOŠIÆ;ANTE BARABA;JOSIP REP;LJILJANA MILANOVIÆ-LITRE;SANJA DOMAZET;BRUNO ÆUTIÆ;JOSIP TOMIÈIÆ;RUŽICA ANDRIJANIÆ;MARIO MORO;IVA DOŠLIÆ;BRIGITA ŠLAT;MOST NEZAVISNIH LISTA - MOST;dr. sc. INES STRENJA-LINIÆ, dr. med.;doc. dr. sc. TEA GOLJA, dipl. oec.;mr. sc. ZVONIMIR PERANIÆ, prof.;ROBERT DORIÆ, prof.;NIKICA PAŽIN, dipl. oec.;prof. dr. sc. MIRKO ŠTIFANIÆ;DARIO ÈEHIÆ, dipl. iur.;mr. sc. MAJDA ŠALE, dipl. oec.;GORAN DOMAZET, dr. vet. med.;SANJA DUNDOVIÆ, dipl. iur.;TONI PRANJIÆ, dipl. iur.;VEDRAN ANTIÆ, dipl. ing.;ADELINA BARUKÈIÆ, bacc. ing.;PETRA MANDIÆ, dipl. iur.;NAPRIJED HRVATSKA! - PROGRESIVNI SAVEZ IVE JOSIPOVIÆA, NARODNA STRANKA - REFORMISTI - REFORMISTI, STRANKA HRVATSKIH UMIROVLJENIKA - UMIROVLJENICI, ZELENI FORUM, DUBROVAÈKI DEMOKRATSKI SABOR - DDS;SLAVKO LINIÆ;DINO KOZLEVAC;LUKA DENONA;DRAGAN MILJENOVIÆ;DAMIR CAR;ANDREJA RUDANÈIÆ-LUGARIÆ;SANJA BOSNIÆ;DRAŽEN MITROVIÆ;ANA VIÈEVIÆ GRAÈANIN;SNJEŽANA HERAK;doc. dr. sc. TICIJAN PERUŠKO;PETRA PELOZA;DENIS MARTINÈIÆ;MARINA TOMEÈAK;ODRŽIVI RAZVOJ HRVATSKE - ORaH;dr. sc. ANA BOBINAC;doc. dr. sc. ALEN PROTIÆ;DRAGICA PRŠO;SAŠA MENDICA;MILENA PANIÆ-GAÈIÆ;DALIBOR SUŠIÆ;JASNA BOGUNOVIÆ;VEDRAN VRSALOVIÆ;MAJA VIZJAK;IVAN ISKRA;IVANA KRTINIÆ;VALENTIN DIDOVIÆ;DANIELA BURŠIÆ;RENATO ÆORLUKA;U IME OBITELJI - PROJEKT DOMOVINA;BLAŽENKA KULIÆ, dipl. ing. šum.;ANITA RONÈEVIÆ;SILVANA VOZILA;SANJA ŠTERN-VUKOTIÆ, prof.;DUBRAVKO ANTONIÆ;IGOR DUNÐER, dipl. ing.;TOMISLAV ŠTIVOJEVIÆ;DENIS MARINOVIÆ;MILENA ŽITINIÆ;DARIO PERKOVIÆ;VESNA STEINER-IBRAHIMPAŠIÆ, dipl. oec.;GORDANA BARIÆ;MARIJA VRBETA;IVICA VUKELIÆ;AKCIJA MLADIH - AM;MARIO ALEMPIJEVIÆ, univ. spec. oec.;ANDREJ BRIŠÈIK;ANET TROPE;SANJA SLAVIÆ;dr. sc. ROBERT KURELIÆ;TESA SOLDIÈIÆ;TADEJ KRASNIQI;LOLA ŽEŽELIÆ;DAVID KURTI;ROBERT BRAVAR;PETRA TRIPAR;ANDREA HEÆIMOVIÆ;ALAN SANKOVIÆ;IGOR PUŽ;ISTARSKI DEMOKRATSKI SABOR - IDS, PRIMORSKO GORANSKI SAVEZ - PGS, LISTA ZA RIJEKU - RI;BORIS MILETIÆ;GIOVANNI SPONZA;TULIO DEMETLIKA;DARIJO VASILIÆ;SANDRA ÆAKIÆ KUHAR;TAMARA MORANJAK;DARKO LORENCIN;EMIL DAUS;SARA BUŽLETA;NATAŠA MILJAK;ROBERTA KALÈIÆ SAVATOVIÆ;TEA MIÈIÆ BADURINA;MARIN GRGETA;VALTER FLEGO;POKRET ZAJEDNO;SLAVICA ŠOTA;VEDRANA SPADONI ŠTEFANIÆ;RADOVAN SMOKVINA;JOSIP GABRIÆ;ZDENKA PRPIÆ;IVICA LUKIÆ;MARIJAN ŠEGOTA;STELLA GABRIÆ;VALTER KOCIJANÈIÆ;LOLITA KOCIJANÈIÆ;JOVANKA BARIÆ;VESO ÈOSIÆ;MAKS KOSJEK;ŽIVKO PAVLETIÆ;RADNIÈKA FRONTA - RF;ŽELJKO MARKOVIÆ;BISERKA MOMÈINOVIÆ;DALIBOR VIDOVIÆ;MAJA NOVAK;MLADEN MOMÈINOVIÆ;IVANA PEIN;NIJAZ DELIÆ;ANÐELKA ANTULOV;DRAGAN PRGONJIÆ;DRAŽENKA KOSIÆ;NEDŽIB BAJRIÆ;ANITA MARIN;ZVONKO TRPÈEVSKI;IVICA LAÐAREVIÆ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, HRVATSKA STRANKA UMIROVLJENIKA - HSU, HRVATSKI LABURISTI - STRANKA RADA, AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A - HSS, ZAGORSKA STRANKA - ZS;ŽELJKO JOVANOVIÆ;PEÐA GRBIN;SILVANO HRELJA;NANSI TIRELI;ANA KOMPARIÆ DEVÈIÆ;TANJA VRBAT GRGIÆ;DINO MANESTAR;DANIJEL FERIÆ;ANDREJ POROPAT;SANDRA KRPAN;GORDANA VUKOŠA;ADA DAMJANAC;MIRELA AHMETOVIÆ;WALTER VOLK;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP;VLADIMIR KAPURALIN;KRISTOFOR ŠTOKIÆ;DAVOR RAKIÆ;RUŽA KNEŽEVIÆ;IVICA DOMIJAN;NATAŠA FALJIÆ;JOSIP POLDAN;ALDA PETROVIÆ;MAKSIM BILOBRK;NEDELJKA KOS;VALTER JUGOVAC;MILKA VALIDŽIÆ;ZAHIDA DEDUKIÆ;ANDREA DEGOBBIS;ŽIVI ZID;DUŠAN CVETANOVIÆ;ANTONIO DRAŽOVIÆ;NENSI KRUPIÆ;MARIJA GAŠPAR;ZORAN MAÆEŠIÆ;MIHAELA LOVRIÆ;JADRANKA PLANTAK;DOLORES STARÈEVIÆ;TAMARA TEODOROVIÆ;EMANUEL RUDAN;DINO KUSTIÆ;KRUNOSLAV RAGO;MATEA IVANÈEK;LAVJAN VOZILA
008;VIII. IZBORNA JEDINICA;;inozemstvo;država;AFGANISTAN;001;biraèko mjesto broj 1 - CAMP MARMAL;CAMP MARMAL, MAZAR-E-SHARIF, AFGANISTAN;CAMP MARMAL, MAZAR-E-SHARIF, AFGANISTAN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
008;VIII. IZBORNA JEDINICA;;inozemstvo;država;AFGANISTAN;002;biraèko mjesto broj 2 - CAMP HKIA;CAMP HKIA, KABUL, AFGANISTAN;CAMP HKIA, KABUL, AFGANISTAN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
008;VIII. IZBORNA JEDINICA;;inozemstvo;država;ALBANIJA;001;biraèko mjesto broj 1 - TIRANA;VELEPOSLANSTVO REPUBLIKE HRVATSKE U REPUBLICI ALBANIJI;RR. XIBRAKEVE, KOMPLEKSI XIBRAKU, TIRANA, ALBANIJA;38;38;38;37;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;3;3;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
008;VIII. IZBORNA JEDINICA;;inozemstvo;država;ALŽIR;001;biraèko mjesto broj 1 - ALŽIR;VELEPOSLANSTVO REPUBLIKE HRVATSKE U ALŽIRSKOJ NARODNOJ DEMOKRATSKOJ REPUBLICI;26. BIS, RUE HADJ AHMED MOHAMED - HYDRA, 16405 ALGERIE, ALŽIR;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
008;VIII. IZBORNA JEDINICA;;inozemstvo;država;ARGENTINA;001;biraèko mjesto broj 1 - BUENOS AIRES;VELEPOSLANSTVO REPUBLIKE HRVATSKE U ARGENTINSKOJ REPUBLICI;GOROSTIAGA 2104, 1426 BUENOS AIRES, ARGENTINA;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
008;VIII. IZBORNA JEDINICA;;inozemstvo;država;AUSTRALIJA;001;biraèko mjesto broj 1 - CANBERRA;VELEPOSLANSTVO REPUBLIKE HRVATSKE U AUSTRALIJI;14 JINDALEE CRESCENT, O'MALLEY, ACT 2606 CANBERRA, AUSTRALIJA;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
008;VIII. IZBORNA JEDINICA;;inozemstvo;država;AUSTRALIJA;002;biraèko mjesto broj 2 - MELBOURNE;GENERALNI KONZULAT REPUBLIKE HRVATSKE U AUSTRALIJI, MELBOURNE;9/24 ALBERT ROAD, SOUTH MELBOURNE 3205, VICTORIA, AUSTRALIJA;9;9;9;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
008;VIII. IZBORNA JEDINICA;;inozemstvo;država;AUSTRALIJA;003;biraèko mjesto broj 3 - SYDNEY;GENERALNI KONZULAT REPUBLIKE HRVATSKE U AUSTRALIJI, SYDNEY;4/379 KENT STREET, P.O. BOX Q104, SYDNEY, NSW 1230, AUSTRALIJA;5;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
008;VIII. IZBORNA JEDINICA;;inozemstvo;država;AUSTRALIJA;004;biraèko mjesto broj 4 - PERTH;KONZULAT REPUBLIKE HRVATSKE U AUSTRALIJI, PERTH;9/68 ST. GEORGES TCE, PERTH WA 6831, AUSTRALIJA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
008;VIII. IZBORNA JEDINICA;;inozemstvo;država;AUSTRIJA;001;biraèko mjesto broj 1 - BEÈ;VELEPOSLANSTVO REPUBLIKE HRVATSKE U REPUBLICI AUSTRIJI;OPERNGASSE 20 B, 1040 WIEN, AUSTRIJA;45;45;45;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;1;4;0;1;2;1;2;1;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;3;2;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
