Rbr izborne jedinice biraèa;Naziv izborne jedinice biraèa;Rbr.županije;Županija;Oznaka Gr/Op/Dr;Grad/opæina/država;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;AUTOHTONA - HRVATSKA STRANKA PRAVA - A - HSP;MARKO PILAŠ, dr. med. dent.;FILIP KOVAÈEVIÆ;IVANKA ÈEPLE;DALIBOR FUÆAK;NIKOLA TOMLJENOVIÆ;ROSANO VOSILLA;KREŠIMIR ŠIKIÆ;EDO TURK;ANTONIO SALVI;IVICA ŠIMIÆ;VEDRAN VESEL;SANJIN KOSIÆ;FRANJO OŠTARÈEVIÆ;DANIJEL KESTELI;"""BANDIÆ MILAN 365 - STRANKA RADA I SOLIDARNOSTI"", ISTARSKI DEMOKRATI - DEMOCRATICI ISTRIANI - ID - DI, DEMOKRATSKA PRIGORSKO - ZAGREBAÈKA STRANKA - DPS, DEMOKRATSKA STRANKA ŽENA - DSŽ, HRVATSKA EUROPSKA STRANKA - HES, HRVATSKA RADNIÈKA STRANKA - HRS, HRVATSKA STRANKA ZELENIH - EKO SAVEZ - ZELENI, MEÐIMURSKA STRANKA - MS, NEZAVISNI SELJACI HRVATSKE - NSH, NOVI VAL - STRANKA RAZVOJA - NOVI VAL, STRANKA UMIROVLJENIKA - SU, UMIROVLJENIÈKA DEMOKRATSKA UNIJA - UDU, ZELENI SAVEZ - ZELENI, ZELENA STRANKA - ZS";DAMIR KAJIN;BRUNO POROPAT;dr. sc. KATARINA TOKOVIÆ, dipl. oec.;mr. sc. JOSIP-ANTON RUPNIK, dipl. oec.;LIDIJA STIPLOŠEK;VILI JELETIÆ;FRANE MILAT;RODOLJUB KOSIÆ;ELIZABETA RUBINIÆ;MARIJA TURINA;LILIJANA VRANJICAN, prof.;MONIKA DEROSI;MILAN POPADIÆ, prof.;BRANKO RUŽIÆ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA SELJAÈKA STRANKA - HSS, HRVATSKA STRANKA PRAVA DR. ANTE STARÈEVIÆ - HSP AS, BLOK UMIROVLJENICI ZAJEDNO - BUZ, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS, HRAST - POKRET ZA USPJEŠNU HRVATSKU, HRVATSKA DEMOKRŠÆANSKA STRANKA - HDS, ZAGORSKA DEMOKRATSKA STRANKA - ZDS;OLEG BUTKOVIÆ;ANTON KLIMAN;LUCIAN VUKELIÆ;DARIO KONTA;TOMISLAVA ZEÈEVIÆ PEDIÆ;MIRIAM KERVATIN;IVAN KIRIN;SUNÈANA GLAVAK;DOBRICA RONÈEVIÆ;JOSIP BORIÆ;ZRINKO KAJFEŠ;IVAN JAKŠIÆ;DINKO BEAKOVIÆ;BRANKA MALNAR;HRVATSKA KONZERVATIVNA STRANKA - HKS, HRVATSKA STRANKA PRAVA - HSP, OBITELJSKA STRANKA - OS;MILE BIONDIÆ;DALIBOR JUKIÆ;ALEKSANDRA BURDA;IVAN IVOŠIÆ;ANTE BARABA;JOSIP REP;LJILJANA MILANOVIÆ-LITRE;SANJA DOMAZET;BRUNO ÆUTIÆ;JOSIP TOMIÈIÆ;RUŽICA ANDRIJANIÆ;MARIO MORO;IVA DOŠLIÆ;BRIGITA ŠLAT;MOST NEZAVISNIH LISTA - MOST;dr. sc. INES STRENJA-LINIÆ, dr. med.;doc. dr. sc. TEA GOLJA, dipl. oec.;mr. sc. ZVONIMIR PERANIÆ, prof.;ROBERT DORIÆ, prof.;NIKICA PAŽIN, dipl. oec.;prof. dr. sc. MIRKO ŠTIFANIÆ;DARIO ÈEHIÆ, dipl. iur.;mr. sc. MAJDA ŠALE, dipl. oec.;GORAN DOMAZET, dr. vet. med.;SANJA DUNDOVIÆ, dipl. iur.;TONI PRANJIÆ, dipl. iur.;VEDRAN ANTIÆ, dipl. ing.;ADELINA BARUKÈIÆ, bacc. ing.;PETRA MANDIÆ, dipl. iur.;NAPRIJED HRVATSKA! - PROGRESIVNI SAVEZ IVE JOSIPOVIÆA, NARODNA STRANKA - REFORMISTI - REFORMISTI, STRANKA HRVATSKIH UMIROVLJENIKA - UMIROVLJENICI, ZELENI FORUM, DUBROVAÈKI DEMOKRATSKI SABOR - DDS;SLAVKO LINIÆ;DINO KOZLEVAC;LUKA DENONA;DRAGAN MILJENOVIÆ;DAMIR CAR;ANDREJA RUDANÈIÆ-LUGARIÆ;SANJA BOSNIÆ;DRAŽEN MITROVIÆ;ANA VIÈEVIÆ GRAÈANIN;SNJEŽANA HERAK;doc. dr. sc. TICIJAN PERUŠKO;PETRA PELOZA;DENIS MARTINÈIÆ;MARINA TOMEÈAK;ODRŽIVI RAZVOJ HRVATSKE - ORaH;dr. sc. ANA BOBINAC;doc. dr. sc. ALEN PROTIÆ;DRAGICA PRŠO;SAŠA MENDICA;MILENA PANIÆ-GAÈIÆ;DALIBOR SUŠIÆ;JASNA BOGUNOVIÆ;VEDRAN VRSALOVIÆ;MAJA VIZJAK;IVAN ISKRA;IVANA KRTINIÆ;VALENTIN DIDOVIÆ;DANIELA BURŠIÆ;RENATO ÆORLUKA;U IME OBITELJI - PROJEKT DOMOVINA;BLAŽENKA KULIÆ, dipl. ing. šum.;ANITA RONÈEVIÆ;SILVANA VOZILA;SANJA ŠTERN-VUKOTIÆ, prof.;DUBRAVKO ANTONIÆ;IGOR DUNÐER, dipl. ing.;TOMISLAV ŠTIVOJEVIÆ;DENIS MARINOVIÆ;MILENA ŽITINIÆ;DARIO PERKOVIÆ;VESNA STEINER-IBRAHIMPAŠIÆ, dipl. oec.;GORDANA BARIÆ;MARIJA VRBETA;IVICA VUKELIÆ;AKCIJA MLADIH - AM;MARIO ALEMPIJEVIÆ, univ. spec. oec.;ANDREJ BRIŠÈIK;ANET TROPE;SANJA SLAVIÆ;dr. sc. ROBERT KURELIÆ;TESA SOLDIÈIÆ;TADEJ KRASNIQI;LOLA ŽEŽELIÆ;DAVID KURTI;ROBERT BRAVAR;PETRA TRIPAR;ANDREA HEÆIMOVIÆ;ALAN SANKOVIÆ;IGOR PUŽ;ISTARSKI DEMOKRATSKI SABOR - IDS, PRIMORSKO GORANSKI SAVEZ - PGS, LISTA ZA RIJEKU - RI;BORIS MILETIÆ;GIOVANNI SPONZA;TULIO DEMETLIKA;DARIJO VASILIÆ;SANDRA ÆAKIÆ KUHAR;TAMARA MORANJAK;DARKO LORENCIN;EMIL DAUS;SARA BUŽLETA;NATAŠA MILJAK;ROBERTA KALÈIÆ SAVATOVIÆ;TEA MIÈIÆ BADURINA;MARIN GRGETA;VALTER FLEGO;POKRET ZAJEDNO;SLAVICA ŠOTA;VEDRANA SPADONI ŠTEFANIÆ;RADOVAN SMOKVINA;JOSIP GABRIÆ;ZDENKA PRPIÆ;IVICA LUKIÆ;MARIJAN ŠEGOTA;STELLA GABRIÆ;VALTER KOCIJANÈIÆ;LOLITA KOCIJANÈIÆ;JOVANKA BARIÆ;VESO ÈOSIÆ;MAKS KOSJEK;ŽIVKO PAVLETIÆ;RADNIÈKA FRONTA - RF;ŽELJKO MARKOVIÆ;BISERKA MOMÈINOVIÆ;DALIBOR VIDOVIÆ;MAJA NOVAK;MLADEN MOMÈINOVIÆ;IVANA PEIN;NIJAZ DELIÆ;ANÐELKA ANTULOV;DRAGAN PRGONJIÆ;DRAŽENKA KOSIÆ;NEDŽIB BAJRIÆ;ANITA MARIN;ZVONKO TRPÈEVSKI;IVICA LAÐAREVIÆ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, HRVATSKA STRANKA UMIROVLJENIKA - HSU, HRVATSKI LABURISTI - STRANKA RADA, AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A - HSS, ZAGORSKA STRANKA - ZS;ŽELJKO JOVANOVIÆ;PEÐA GRBIN;SILVANO HRELJA;NANSI TIRELI;ANA KOMPARIÆ DEVÈIÆ;TANJA VRBAT GRGIÆ;DINO MANESTAR;DANIJEL FERIÆ;ANDREJ POROPAT;SANDRA KRPAN;GORDANA VUKOŠA;ADA DAMJANAC;MIRELA AHMETOVIÆ;WALTER VOLK;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP;VLADIMIR KAPURALIN;KRISTOFOR ŠTOKIÆ;DAVOR RAKIÆ;RUŽA KNEŽEVIÆ;IVICA DOMIJAN;NATAŠA FALJIÆ;JOSIP POLDAN;ALDA PETROVIÆ;MAKSIM BILOBRK;NEDELJKA KOS;VALTER JUGOVAC;MILKA VALIDŽIÆ;ZAHIDA DEDUKIÆ;ANDREA DEGOBBIS;ŽIVI ZID;DUŠAN CVETANOVIÆ;ANTONIO DRAŽOVIÆ;NENSI KRUPIÆ;MARIJA GAŠPAR;ZORAN MAÆEŠIÆ;MIHAELA LOVRIÆ;JADRANKA PLANTAK;DOLORES STARÈEVIÆ;TAMARA TEODOROVIÆ;EMANUEL RUDAN;DINO KUSTIÆ;KRUNOSLAV RAGO;MATEA IVANÈEK;LAVJAN VOZILA
008;VIII. IZBORNA JEDINICA;1;ZAGREBAÈKA ŽUPANIJA;grad;DUGO SELO;001;PU 04-20, DUGO SELO;VATROGASNI DOM DONJE DVORIŠÆE;DONJE DVORIŠÆE, DVORIŠKA 43;10;8;8;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
008;VIII. IZBORNA JEDINICA;1;ZAGREBAÈKA ŽUPANIJA;grad;IVANIÆ-GRAD;001;DOM 24, IVANIÆ GRAD;DOM ZA PSIHIÈKI BOLESNE ODRASLE OSOBE BISER;GRANIÈARSKA 2;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
008;VIII. IZBORNA JEDINICA;1;ZAGREBAÈKA ŽUPANIJA;grad;IVANIÆ-GRAD;002;PU 02-17, IVANIÆ GRAD;CENTAR - MALA SALA PUÈKOG OTVORENOG UÈILIŠTA;MOSLOVAÈKA 11, IVANIÆ GRAD;13;10;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
008;VIII. IZBORNA JEDINICA;1;ZAGREBAÈKA ŽUPANIJA;grad;JASTREBARSKO;001;PU 04-52, JASTREBARSKO;JASTREBARSKO VII (ZGRADA GRADSKE UPRAVE);TRG JOSIPA JURJA STROSSMAYERA 13;4;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
008;VIII. IZBORNA JEDINICA;1;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;001;PU 06-73, SAMOBOR;PROSTORIJE SREDNJIH ŠKOLA (MALA KONGRESNA DVORANA);SAMOBOR, HEBRANGOVA;54;50;50;49;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11;5;0;0;3;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;4;0;1;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;14;2;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
008;VIII. IZBORNA JEDINICA;1;ZAGREBAÈKA ŽUPANIJA;grad;SVETI IVAN ZELINA;001;DOM 23, ŠULINEC;DOM ZA PSIHIÈKI BOLESNE ODRASLE OSOBE SKUPNJAK;ŠULINEC BB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
008;VIII. IZBORNA JEDINICA;1;ZAGREBAÈKA ŽUPANIJA;grad;SVETI IVAN ZELINA;002;PU 10-02, SVETI IVAN ZELINA;SVETI IVAN ZELINA II;TRG A. STARÈEVIÆA 12, SVETI IVAN ZELINA;5;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
008;VIII. IZBORNA JEDINICA;1;ZAGREBAÈKA ŽUPANIJA;grad;VELIKA GORICA;001;LS 04, VELIKA GORICA;KAZNIONICA I ODGOJNI ZAVOD TUROPOLJE;VELIKA GORICA, TUROPOLJSKA BB;8;6;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
008;VIII. IZBORNA JEDINICA;1;ZAGREBAÈKA ŽUPANIJA;grad;VELIKA GORICA;002;PU 08-65, VELIKA GORICA;ZGRADA GRADSKE UPRAVE;TRG KRALJA TOMISLAVA 34;20;18;18;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;5;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
008;VIII. IZBORNA JEDINICA;1;ZAGREBAÈKA ŽUPANIJA;grad;VRBOVEC;001;PU 11-01, VRBOVEC;VRBOVEC I, VELIKA GRADSKA VIJEÆNICA;TRG PETRA ZRINSKOG 9, VRBOVEC;9;9;9;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
