Rbr IJ;Naziv izborne jedinice;Rbr.županije;Županija;Oznaka Gr/Op/Dr;Grad/opæina/država;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;AUTOHTONA - HRVATSKA STRANKA PRAVA - A - HSP;IVANKA POLIÆ, prof.;IVA KINDA;ANTE VUKOVIÆ;BOŽIDAR PALIÆ;EMIL VULETA;JERE VEROVIÆ;ANTON KOMAZEC;KRISTIJAN PLETIKOSA;TOMISLAV ALIÆ;JOSO JAJAŠ;MIRO PETKOVIÆ;MARIJANA BURIÆ;IVICA RADMILO;BOŽE ŠKARO;"""BANDIÆ MILAN 365 - STRANKA RADA I SOLIDARNOSTI"", DEMOKRATSKA PRIGORSKO - ZAGREBAÈKA STRANKA - DPS, DEMOKRATSKA STRANKA ŽENA - DSŽ, HRVATSKA EUROPSKA STRANKA - HES, HRVATSKA RADNIÈKA STRANKA - HRS, HRVATSKA STRANKA ZELENIH - EKO SAVEZ - ZELENI, ISTARSKI DEMOKRATI - DEMOCRATICI ISTRIANI - ID - DI, MEÐIMURSKA STRANKA - MS, NEZAVISNI SELJACI HRVATSKE - NSH, NOVI VAL - STRANKA RAZVOJA - NOVI VAL, STRANKA UMIROVLJENIKA - SU, UMIROVLJENIÈKA DEMOKRATSKA UNIJA - UDU, ZELENI SAVEZ - ZELENI, ZELENA STRANKA - ZS";IVANA TOMAŠ, bacc. oec.;ALEN JELAVIÆ, dr. med.;MARIN BEGONJA;GORDANA ZVJERKOVIÆ, prof.;VESNA ÈELIK, prof.;DAJANA SVALINA;GORAN ERCEGOVAC, dipl. ing.;mr. sc. RENATO-ZDENKO JERONÈIÆ, dipl. oec.;MARIO ADRINEK;ZORANA ÈALETA;GORDANA FERENÈIÆ;RATKO MARIÈIÆ, dipl. iur.;MARIJA KALEBOTA;MARIJA BRKLJAÈIÆ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA SELJAÈKA STRANKA - HSS, HRVATSKA STRANKA PRAVA DR. ANTE STARÈEVIÆ - HSP AS, BLOK UMIROVLJENICI ZAJEDNO - BUZ, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS, HRAST - POKRET ZA USPJEŠNU HRVATSKU, HRVATSKA DEMOKRŠÆANSKA STRANKA - HDS, ZAGORSKA DEMOKRATSKA STRANKA - ZDS;TOMISLAV KARAMARKO;JOSIPA RIMAC;BOŽIDAR KALMETA;ANTE SANADER;DARKO MILINOVIÆ;GORAN PAUK;JOSIP BILAVER;IVAN ŠIPIÆ;HRVOJE ZEKANOVIÆ;SANDRA JAKELIÆ;MARIJAN KUSTIÆ;IRENA DEVÈIÆ;ANTE ŽUPAN;RUDOLF DVORSKI;HRVATSKA KONZERVATIVNA STRANKA - HKS, HRVATSKA STRANKA PRAVA - HSP, OBITELJSKA STRANKA - OS;ÐANI BUNJA;NIKICA PENÐER;BERISLAV GRŽANIÆ;FILIP BRÈIÆ;KRISTIJAN BAKARIÆ;IVAN ŠUSTIÆ;DANICA ÈUBRIÆ;LANA BAKULA;BRANIMIR BOLF;KREŠIMIR BORŠIÆ;HELENA MIKAS;BARBARA PRPIÆ;IVANA KURSAN;VALERIJA KOVAÈ;MOST NEZAVISNIH LISTA - MOST;STIPE PETRINA;MIRO BULJ;ZDENKO SARAÐEN;mr. sc. MILIJA BALDIÆ-LUKŠIÆ, dr. med.;MILJENKO MARIÆ, dipl. iur.;MILE MARASOVIÆ;IRIS UKIÆ KOTARAC, dipl. iur.;BRANKO DŽELALIJA, dipl. oec.;LUCIJA CVITAN, prof. hrv. jezika i književnosti;DAJANA SOKOL KERANOVIÆ;DIJANA RINÈIÆ, dipl. iur.;DUŠAN ÐULA;HERMINA NAKIÆ CRLJEN, dipl. iur.;IVAN BARIŠIÆ;NARODNA STRANKA - REFORMISTI - REFORMISTI, NAPRIJED HRVATSKA! - PROGRESIVNI SAVEZ IVE JOSIPOVIÆA, STRANKA HRVATSKIH UMIROVLJENIKA - UMIROVLJENICI, ZELENI FORUM, DUBROVAÈKI DEMOKRATSKI SABOR - DDS;PETAR BARANOVIÆ;BUDIMIR GENDA;VESNA SABOLIÆ;BORKO OGUIÆ;ASJA IVANÈEVIÆ MUÈIÆ;LINDA ANTIÆ BORAK;NIKOLA SLADIÆ;ŽELJKO UŠLJEBRKA;BOŽENA BAÈIÆ;LJILJANA KLARIN, dr.;DUBRAVKA FINKA, dr. med.;IVAN TOŠIÆ;MARTIN GALEŠIÆ;BORIS BEROVIÆ;ODRŽIVI RAZVOJ HRVATSKE - ORaH;DANIJELA GRBELJA;IVAN BULJAN;MIRA PERIÆ;IVAN GUINA;ANTONIJA DURBEŠIÆ;ŠIME GRBIN;HELENA MIKULANDRA;DRAGAN BODULJAK;MARIJA KURSAN;JASMIN NOVAKOVIÆ;DALIBORKA SABO;BRANIMIR BEUS;ELIZABETA SMOLIÆ;DINO BARTULOVIÆ;U IME OBITELJI - PROJEKT DOMOVINA;TOMISLAV PALEKA, dipl. theol.;MATE MIŠLOV, mag. psih.;HRVOJE ŠTEKO, prof.;mr. sc. FILIP ÐINÐIÆ;NEVENA TADIÆ, dipl. theol.;IVAN KULAŠ;TATIJANA VIDIÆ;ŽANA BEKAVAC;MONIKA BUTUM;IVICA BUÈIÆ;JOSIPA BARABA;GORDANA SKORIN;SILVIJA ŠKONTRA;ŠIME BALJAK;HRVATSKA KRŠÆANSKA DEMOKRATSKA UNIJA - HKDU, HRVATSKA DEMOKRATSKA STRANKA, NACIONALNI DEMOKRATI - ND;DEAN GOLUBIÆ, dipl. krim.;IVAN PLAZINA, dipl. ing.;MIRJANA TURUDIÆ, dipl. iur.;MARINKO BOBINAC;NATALIJA BILIÆ;JOSIP GRUBIŠIÆ;DOMINIK VALIDŽIÆ;AUGUSTIN MIŠKIÆ;MARIJA VODOPIJA;SNJEŽANA KADOIÆ;MATEA HODULAK;DRAŽEN JERMAN;IVICA ZEKAN;PETRA BLAŽIC;HRVATSKA ZORA STRANKA NARODA - HZ;ŽIVKO ZRILIÆ, dipl. iur.;ILKO TRANFIÆ, dr. med.;MARTINA MAGAŠ;IVANA ŠODA, dipl. oec.;TIHA VUÈEMILO;MARIJANA VLADOVIÆ, univ. spec. mag. oec.;MARINA ÆALETA, dr. med.;IVA RADOVIÆ;TOMISLAV LEMAC, dipl. ing.;IVAN ÆOSO, mag. soc. paed.;JOSIP ŠULJAK, ing. prometa;DAMIR ROŽIÆ, bacc. med. techn.;VENCISLAV DŽEPINA;SELIMIR VUKŠIÆ, ing. prometa;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, HRVATSKA STRANKA UMIROVLJENIKA - HSU, HRVATSKI LABURISTI - STRANKA RADA, AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A - HSS, ZAGORSKA STRANKA - ZS, SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS;RANKO OSTOJIÆ;IVAN KLARIN;SABINA GLASOVAC;INGRID ANTIÈEVIÆ-MARINOVIÆ;FRANKO VIDOVIÆ;KLEMENT BAŠIÆ;DUŠKO VIDOV;VEDRAN KOVAÈIÆ;RENATA SABLJAR-DRAÈEVAC;TOMISLAV ZRINSKI;MARIJA ALFIREV;ANDJELKO PARÈINA;VLATKA DUILO;BORIS MILOŠEVIÆ;ŽELJKO KERUM - HRVATSKA GRAÐANSKA STRANKA;NEVENKA BEÈIÆ;JURE ŠUNDOV;EDITA GRUBIŠIÆ;IRENA GRACIN;ŽELJKA KERUM TOPALUŠIÆ;MARIO DADIÆ;TOMISLAV REŽIÆ;ZVONIMIR MATKOVIÆ;KAŽIMIR STAZIÆ;IVAN SERDAREVIÆ;JOSIP KERUM;DIJANA LIVAJA;RANKA SEDLAR;FANI KERUM;ŽIVI ZID, AKCIJA MLADIH - AM;ANTE RUBEŠA;JAKOV PERICA;LOVRE CRVELIN;mr. sc. MARJANA BOTIÆ;JASMINA ŽUNIÆ;VEDRANA JAKELIÆ;JURE BRKAN;SANDA GORIŠEK;DRAGAN KOLOMBO;ANTONIO BAUS;MARIJO FURÈIÆ;ANA LJUBICA;LJUBICA PERICA;MARKO PUPIÆ-BAKRAÈ
009;IX. IZBORNA JEDINICA;13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;001;BENKOVAC 1;OSNOVNA ŠKOLA BENKOVAC;BENKOVAC;1163;608;608;604;4;5;1;0;0;0;0;0;0;0;0;0;1;0;0;1;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;316;131;12;38;3;4;1;10;1;4;2;0;8;7;7;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;89;36;0;14;0;1;0;1;0;2;0;2;0;0;2;8;1;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;1;2;2;0;2;0;1;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;140;55;1;3;13;3;11;0;0;12;0;1;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;3;3;0;0;0;0;0;0;0;0;0;0;0;1
009;IX. IZBORNA JEDINICA;13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;002;BENKOVAC 2;OSNOVNA ŠKOLA BENKOVAC;BENKOVAC;1072;537;537;532;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;1;0;0;0;0;0;0;0;260;97;19;21;3;0;2;22;0;6;2;0;4;6;1;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;80;34;0;16;1;4;0;0;1;1;0;0;0;0;0;10;2;0;1;0;0;1;0;3;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;3;0;0;2;1;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;1;0;0;0;0;0;7;4;0;0;0;0;0;0;0;1;0;1;0;0;0;131;48;0;3;6;2;9;2;0;7;0;0;0;0;19;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;23;3;1;0;1;2;0;0;0;0;0;0;0;2;2
009;IX. IZBORNA JEDINICA;13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;003;BENKOVAÈKO SELO;OSNOVNA ŠKOLA BENKOVAC;BENKOVAC;694;288;288;284;4;2;0;0;0;0;0;0;0;0;0;0;1;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;124;58;13;16;0;3;0;1;0;0;0;0;1;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;94;16;0;53;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;17;0;0;1;1;1;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;2;2;0;1;1;0;1;0;0;0;0;0;4;0
009;IX. IZBORNA JEDINICA;13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;004;ŠOPOT;"OBJEKT ""KONOBA"" VL. MARIJAN ROGIÆ ZV.  ""MAÆO""";ŠOPOT;297;156;156;151;5;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;106;47;2;14;0;1;0;9;0;0;0;0;2;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;16;7;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;19;7;0;0;1;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0
009;IX. IZBORNA JEDINICA;13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;005;PODLUG;PODRUÈNA ŠKOLA;PODLUG;164;86;86;83;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;1;0;0;0;0;0;60;27;3;9;0;1;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;3;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;8;4;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
009;IX. IZBORNA JEDINICA;13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;006;PERUŠIÆ BENKOVAÈKI;PODRUÈNA ŠKOLA;PERUŠIÆ BENKOVAÈKI;261;111;111;109;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59;27;2;7;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;7;0;1;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;23;5;0;1;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0
009;IX. IZBORNA JEDINICA;13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;007;PRISTEG;PODRUÈNA ŠKOLA;PRISTEG;403;181;181;173;8;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;88;53;4;17;1;1;0;8;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;13;9;0;2;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;24;0;2;3;3;0;0;0;0;0;0;0;0;28;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;6;5;0;0;0;0;0;0;0;0;0;0;0;0;1
009;IX. IZBORNA JEDINICA;13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;008;DOBRA VODA;ZGRADA PODRUÈNE ŠKOLE;DOBRA VODA;97;67;67;64;3;4;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;13;2;3;2;0;1;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;5;4;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
009;IX. IZBORNA JEDINICA;13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;009;RADOŠINOVCI;PODRUÈNA ŠKOLA;RADOŠINOVCI;210;110;110;108;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;77;31;2;4;0;0;0;0;0;0;0;0;0;0;10;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;10;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;3;0;0;0;0;12;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0
009;IX. IZBORNA JEDINICA;13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;010;VUKŠIÆ;PODRUÈNA ŠKOLA;VUKŠIÆ;488;266;266;264;2;5;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;190;80;6;10;0;1;1;4;0;2;0;0;0;1;37;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;28;5;0;4;0;10;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;2;0;0;2;0;1;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;1;0;0;0;0;0;2;0;0;0;0;0;0;1
