Rbr IJ;Naziv izborne jedinice;Rbr.županije;Županija;Oznaka Gr/Op/Dr;Grad/opæina/država;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;AUTOHTONA - HRVATSKA STRANKA PRAVA - A - HSP;GORAN ŠARIÆ;MIRKO TADIÆ;TOMISLAV FILIPOVIÆ;MARIJAN GRGIÆ;NIKOLA RAŠTEGORAC;HRVOJE BOREVKOVIÆ;KRUNOSLAV PAŠA;DANIJEL STRIÈEVIÆ;KREŠIMIR ÆORKOVIÆ;BRANKA ŠARIÆ;FRANJO MARIJANOVIÆ;VIŠNJA STEVIÆ;JOSIP ÈIŠ;STJEPAN KRSTANAC;"""BANDIÆ MILAN 365 - STRANKA RADA I SOLIDARNOSTI"" - ""STRANKA RADA I SOLIDARNOSTI"", NARODNA STRANKA - REFORMISTI - REFORMISTI, NOVI VAL - STRANKA RAZVOJA - NOVI VAL, HRVATSKA SELJAÈKA STRANKA - STJEPAN RADIÆ - HSS - SR, BLOK UMIROVLJENICI ZAJEDNO - BUZ";PETAR BAŠIÆ;MIRJANA SEMENIÆ RUTKO, dr. med.;HRVOJE LUCIÆ;IVICA NIKOLIÆ;IVAN VLAHOVIÆ, dipl. ing.;SMILJKA ŠAKIÆ, dipl. oec.;NIKOLA LJUBAN, dipl. ing.;JASNA DERJANOVIÆ, dr. med.;STELLA FRANJIÆ;MIRKO BLIDOVIÆ;DRAGICA NIKOLIÆ, mag. iur.;JADRANKA KVESIÆ;JOSIP VIDOVIÆ;ZDENKO ŽULJ;HRVATSKA STRANKA PRAVA - HSP, HRVATSKA ÈISTA STRANKA PRAVA - HÈSP, AKCIJA ZA BOLJU HRVATSKU - ABH, OBITELJSKA STRANKA - OS;NADA PRKAÈIN;DALIBOR DAMIÈEVIÆ;DRAŽEN ŠEMOVÈAN;IVICA ŽULJ;ŽELJKO JAMBREK;ŽELJKO ŽGELA;MATO RIMAC;SANJA LOJDL;JOSIP MILANOVIÆ;IVAN JUNAŠEVIÆ;IVAN RAJIÈ;IVICA BIÈANIÆ;ILIJANA VRBAT PEJIÆ;DRAŽEN ÐUROVIÆ, dr. med.;HRVATSKA STRANKA PRAVA DR. ANTE STARÈEVIÆ - HSP AS, DEMOKRATSKI SAVEZ NACIONALNE OBNOVE - DESNO, HRVATSKA KRŠÆANSKA DEMOKRATSKA UNIJA - DR. MARKO VESELICA - HKDU - DR. MARKO VESELICA, UJEDINJENA STRANKA PRAVA - USP, HRVATSKA DEMOKRATSKA STRANKA - HDS;TOMISLAV VLAJNIÆ;DARIO MARENIÆ;IRENA MUDRI SIMUNOVIÆ;MIROSLAV PENAVA;NIVES ROMANJEK;ŽELIMIR GUZOVSKI;MILE BARIŠIÆ;ANDREA ÈMELJEŠEVIÆ;ŽELJKA TOTH;ZRINKA DRAGIÈEVIÆ;ANKICA MATOŠEVIÆ;JASENKA BARANJ;MARIJA FERHATOVIÆ;ANTUN ŽAGAR;MOST NEZAVISNIH LISTA - MOST;TOMISLAV PANENIÆ, univ. spec. oec.;RUŽICA VUKOVAC, dipl. iur.;VLADO MARIÆ, dipl. ing.;DRAŽEN PEKÈEC, dipl. ing. stroj.;ŽELJKO BIGOVIÆ, ing.;KATARINA KOZINA, mag. oec.;IVICA TEÈER, dipl. oec.;NIZAR SHOUKRY, dr. med. dent.;SILVIJA PANDURIÆ, dipl. ing. agr.;ANTONETA GUDELJ, dr. med.;ANTE ORLOVIÆ, bacc. oec.;ZDENKA KNEŽEVIÆ, dr. med.;PAULA KANIÆ, dipl. iur.;ŽELJKO PRAVDIÆ, mag. oec.;PAMETNO, ZA GRAD;TOMISLAV KRPAN;BILJANA BELIÆ REBRONJA;DANIEL RAKIJAŠIÆ;SNJEŽANA PEPL SEKULIÆ;MATKO BEDNJANEC;VEDRAN MENÐUŠIÆ;ROBERT TOMAŠEVIÆ;LORETA PERIÆ;ANTON PAPIÆ;MARKO ŠESTANJ;MARIJA ŠOKÈEVIÆ;FRANJO DUBRAVKO ŠOKÈEVIÆ;JASMINKA PRIMORAC;ANDREA MANDIÆ;DEMOKRATSKA STRANKA ŽENA - DSŽ;ANA FILIPOVIÆ;ZVJEZDANA KRPAN-TRGOVÈEVIÆ;TIHANA ÈIPÈIÆ;PAVICA SULIMANAC;LJILJANA HEFER;JELA DRAŽETIÆ;JADRANKA KURBAŠIÆ;MARA MILANKOVIÆ;VANJA BEMKO;ZORAN GOLUBIÆ;DEJAN TOPIÆ;NENAD DENIÆ;MARIO VRTARIÆ;ZLATKO GUSTOVIÆ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;dr. sc. ZDRAVKO MARIÆ;DRAŽEN MILINKOVIÆ;FRANJO LUCIÆ;PERO ÆOSIÆ;IVAN PENAVA;DANIJEL MARUŠIÆ;MLADEN KARLIÆ;DARKO PULJAŠIÆ;DAVOR MILIÈEVIÆ;LJUBICA MAKSIMÈUK;MARIJANA BALIÆ;MARKO ŠIMIÆ;ANTONIJA JOZIÆ;STEVO CULEJ;HRVATSKI DEMOKRATSKI SAVEZ SLAVONIJE I BARANJE - HDSSB, HRVATSKA KONZERVATIVNA STRANKA - HKS;DRAGAN VULIN, mag. ing. el.;RUŽA TOMAŠIÆ;DUBRAVKO KOLUNDŽIÆ, dipl. ing.;JOSIPA MILIÈEVIÆ;mr. sc. SLAVICA JELINIÆ;MARIJAN PAVLIÈEK;VLADIMIR MILKOVIÆ;MARTIN KORDIÆ;JOSIP MIKŠIÆ, dipl. ing.;VALENTIN STJEPANOVIÆ;DAMIR JAKŠIÆ;MARIJA DIDOVIÆ;KATARINA ŠOLTES;IVAN DRMIÆ;HRVATSKI LABURISTI - STRANKA RADA - LABURISTI;DAVOR BOŠNJAK;JADRAN POPOVIÆ;MARTINA BOBALIÆ;ZVONIMIR AJBEK;RADOMIR GROZDANIÆ;ŽELJKO MATAJIÆ;GORANA POŠTIÆ;ANDJELKA BOŠNJAK;DAVOR ALDUK;OLGA KOVAÈEVIÆ;VEDRANA RUDAJ;KREŠIMIR ŠTEFEK;DRAŽEN KATAJ;SANJA GARIÆ;NEOVISNA LISTA - DRAGUTIN DUKIÆ;DRAGUTIN DUKIÆ;MATO MODRIÆ;IGOR MATEK;DAMIR BEGIÆ;DUŠAN DRENOVAC;RUŽICA JANKOVIÆ;IVAN LALIÆ;ROBERT MARKOVIÆ;VALENTIN JELINIÆ;VALENTINA PUŠKARIÆ;ŽELJKO VLAHOVIÆ;GORDANA LUKIÆ;JOSIP DUKIÆ;STJEPAN KUNOVEC;NEZAVISNA LISTA STIPE PETRINA - NLSP, SLOBODNA HRVATSKA - SH, POKRET ZAJEDNO, ODRŽIVI RAZVOJ HRVATSKE - ORaH;DAMIR TRNAÈIÆ;IVONA GOJKOVIÆ;DUBRAVKA KUZMAN;GORDAN MASNJAK;DEJAN DURMIÆ;DAVORKA BEG;EMA HIRŠMAN;IVAN ÈERBA;IVAN VINKOVIÆ;MATEJ VIDOŠEVIÆ;PETAR KLEPO;SNEŽANA ANTOLOVIÆ;TEREZIJA MATOKIÆ;KATA BUZOV;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, HRVATSKA SELJAÈKA STRANKA - HSS, HRVATSKA STRANKA UMIROVLJENIKA - HSU;ZDRAVKO RONKO;DAVOR VLAOVIÆ;MARTA LUC-POLANC;PREDRAG MATIÆ;VINKO GRGIÆ;ANICA BIRAÈ;VERA BOŠNJAK;BILJANA GAÆA;EMINA BERBIÆ KOLAR;ZVONIMIR DRAGUN;MARINKO LUKENDA;JOSIP KRNIÆ;MIRNA KRAJINA-ANDRIÈEVIÆ;MARTINA VLAŠIÆ;STRANKA UMIROVLJENIKA - SU;VINKO KUZMIÆ;NIKOLA BREKALO;STJEPAN RAKITIÆ;ŽELJKO DIVNIÆ;VESNA VALENTA;IVO MARTINOVIÆ;PETAR LEŠIÆ;ANA KOLARIÆ;ŽELJKO ÈAÈULOVIÆ;KATA KOLARIÆ;KATICA GRGUREVIÆ;DAVORKA JERKOVIÆ;JASMINKA LAZOVIÆ;IVAN KORDAS;ŽIVI ZID, PROMIJENIMO HRVATSKU, AKCIJA MLADIH;IVICA MIŠIÆ;VLADO ILJKIÆ;JOZO LEKO;DAMIR JANEŠ;DALIA HEÆIMOVIÆ;MARINA LEŠIÆ;IVANA PAPIÆ;NIKOLINA BRKIÆ;BRIGITA LUCIÆ;PAVAO JOSIÆ;BRANKICA VUIÆ;KRISTINA TRUPELJAK;HRVOJE NEIMAREVIÆ;MIHAELA VARGA
005;V. IZBORNA JEDINICA;;inozemstvo;država;AFGANISTAN;001;biraèko mjesto broj 1 - MAZAR-E-SHARIF;CAMP MARMAL, MAZAR-E-SHARIF, AFGANISTAN;CAMP MARMAL, MAZAR-E-SHARIF, AFGANISTAN;28;28;28;28;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;0;0;0;1;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;1;0;0;0;1;1;1;0;0;0;0;0;0
005;V. IZBORNA JEDINICA;;inozemstvo;država;AFGANISTAN;002;biraèko mjesto broj 2 - KABUL;CAMP GIBSON, KABUL, AFGANISTAN;CAMP GIBSON, KABUL, AFGANISTAN;4;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
005;V. IZBORNA JEDINICA;;inozemstvo;država;ALBANIJA;001;biraèko mjesto broj 1 - TIRANA;VELEPOSLANSTVO REPUBLIKE HRVATSKE U REPUBLICI ALBANIJI;RRUGA GJENERAL NIKOLS, KATI 7, SHTËPIA E BARDHË, TIRANË, ALBANIJA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
005;V. IZBORNA JEDINICA;;inozemstvo;država;ALŽIR;001;biraèko mjesto broj 1 - ALŽIR;VELEPOSLANSTVO REPUBLIKE HRVATSKE U ALŽIRSKOJ NARODNOJ DEMOKRATSKOJ REPUBLICI;26. BIS, RUE HADJ AHMED MOHAMED-HYDRA 16035 ALGERIE, ALŽIR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
005;V. IZBORNA JEDINICA;;inozemstvo;država;ARGENTINA;001;biraèko mjesto broj 1 - BUENOS AIRES;VELEPOSLANSTVO REPUBLIKE HRVATSKE U ARGENTINSKOJ REPUBLICI;GOROSTIAGA 2104, 1426 BUENOS AIRES, ARGENTINA;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
005;V. IZBORNA JEDINICA;;inozemstvo;država;AUSTRALIJA;001;biraèko mjesto broj 1 - CANBERRA;VELEPOSLANSTVO REPUBLIKE HRVATSKE U AUSTRALIJI;14 JINDALEE CRESCENT, O'MALLEY, ACT 2606 CANBERRA, AUSTRALIJA;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
005;V. IZBORNA JEDINICA;;inozemstvo;država;AUSTRALIJA;002;biraèko mjesto broj 2 - MELBOURNE;GENERALNI KONZULAT REPUBLIKE HRVATSKE U AUSTRALIJI, MELBOURNE;9/24 ALBERT ROAD, SOUTH MELBOURNE 3205, VICTORIA, AUSTRALIJA;11;11;11;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;3;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
005;V. IZBORNA JEDINICA;;inozemstvo;država;AUSTRALIJA;003;biraèko mjesto broj 3 - SYDNEY;GENERALNI KONZULAT REPUBLIKE HRVATSKE U AUSTRALIJI, SYDNEY;4/379 KENT STREET, P.O. BOX Q104, SYDNEY, NSW 1230, AUSTRALIJA;7;7;7;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;1;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
005;V. IZBORNA JEDINICA;;inozemstvo;država;AUSTRALIJA;004;biraèko mjesto broj 4 - PERTH;KONZULAT REPUBLIKE HRVATSKE U AUSTRALIJI, PERTH;9/68 ST. GEORGES TCE, PERTH WA 6831, AUSTRALIJA;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
005;V. IZBORNA JEDINICA;;inozemstvo;država;AUSTRIJA;001;biraèko mjesto broj 1 - BEÈ;VELEPOSLANSTVO REPUBLIKE HRVATSKE U REPUBLICI AUSTRIJI;OPERNGASSE 20 B, 1040 WIEN, AUSTRIJA;34;34;34;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;10;0;0;0;0;0;0;0;1;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
