Rbr IJ;Naziv izborne jedinice;Rbr.županije;Županija;Oznaka Gr/Op/Dr;Grad/opæina/država;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;AUTOHTONA - HRVATSKA STRANKA PRAVA - A - HSP;VLADIMIR KINÐERSKI;TOMA ŠTEDUL;MARIJAN GOLUBIÆ;ŽELIMIR VINSKI;MLADEN ŠEPIÆ;BOŽIDAR SVETIÆ;SANELA DOMIN;GRGUR ŠIMIÆ;AMALKA ŠTUKA;DAMIR ŽEPINA;BORIS TAKAÈ;ZORAN ZONJIÆ;ALEKSANDAR NOVAK;ŽARKO MARIÆ;"""BANDIÆ MILAN 365 - STRANKA RADA I SOLIDARNOSTI"" - ""STRANKA RADA I SOLIDARNOSTI"", NARODNA STRANKA - REFORMISTI - REFORMISTI, NOVI VAL - STRANKA RAZVOJA - NOVI VAL, HRVATSKA SELJAÈKA STRANKA - STJEPAN RADIÆ - HSS - SR, BLOK UMIROVLJENICI ZAJEDNO - BUZ";prof. dr. sc. LJUBO JURÈIÆ, dipl. oec.;ŽELJKO MAVRAÈIÆ;dr. sc. JASMINKA PLEVNIK, prof.;SLAVKO KOJIÆ, dipl. oec.;mr. sc. ANITA ZELIÆ, dipl. oec.;NENAD BOŽIÆ, dr. med.;ZINKA BRATUŠA;KSENIJA JAKLENEC;JADRANKO BATURIÆ, dipl. ing.;ANTON MUŽEVIÆ, dipl. oec.;MARINA HABIJANEC;BRANKO CVETKOVIÆ;JAKŠA BALOEVIÆ;prof. dr. sc. ANA STAVLJENIÆ-RUKAVINA, dr. med.;HRVATSKA STRANKA PRAVA - HSP, HRVATSKA ÈISTA STRANKA PRAVA - HÈSP, AKCIJA ZA BOLJU HRVATSKU - ABH, OBITELJSKA STRANKA - OS;ŽELJKO CVRTILA;ANDREA VRBANEK;IVAN ILIÈIÆ;MARIO FILIPI;JOSIP LUKETIÆ;MARTIN PERVAN;BRANKO ŠKRTIÆ;JOSIP TOMIÈIÆ;MLADEN STRINAVIÆ;ŽELJKO VUKIÆ;IVAN ANDRIJEVIÆ, dipl. ing.;VESELKO KRNJIÆ;IVAN MARKULIN;MATIJA SOVULJ, mag. oec.;HRVATSKA STRANKA PRAVA DR. ANTE STARÈEVIÆ - HSP AS, HRVATSKA KRŠÆANSKA DEMOKRATSKA UNIJA - DR. MARKO VESELICA - HKDU - DR. MARKO VESELICA, HRVATSKA DEMOKRATSKA STRANKA - HDS, UJEDINJENA STRANKA PRAVA - USP, DEMOKRATSKI SAVEZ NACIONALNE OBNOVE - DESNO;DEAN GOLUBIÆ, dipl. krim.;JURICA JAŠINSKI;PETAR ŠALE, dipl. iur.;BORIS PREBEG;DAMIR STEPIÆ;MIRJANA TURUDIÆ, mag. iur.;KRISTINA GALETIÆ;MARIJA ÐAPIÆ;ÐURÐA ŠEGUDOVIÆ;VANJA ŠAMARINEC, dipl. ing.;DAMIR FERENÈAK;FRANJO GAVRAN;MIRNA BALENOVIÆ;NINA BOBINAC;MOST NEZAVISNIH LISTA - MOST;JOSIP KATALINIÆ;MARKO SLADOLJEV;MILAN PAVELIÆ;RATKO BEDEKOVIÆ;ŽARKO KOTUR;LJUBOMIR VLADISLOVIÆ;IRENA FRANCEKOVIÆ;NEVEN POLIÆ;KAROLINA ÆOSIÆ-VUŠKOVIÆ;LIDIJA RUNKO-LUTTENBERGER;MIRSADA BEGOVIÆ MARKOVIÆ;MIRNA MEÐIMOREC;NEREA PULIÆ;IVAN TOMLJENOVIÆ;PAMETNO, ZA GRAD;mr. sc. NINA ANTIÈIÆ;SVIBOR JANÈIÆ;BOJANA NIKITOVIÆ;ŽELJKO GRABAREVIÆ;ŽANA BARIŠIÆ DOŠEN;STEVICA KUHARSKI;ZVONIMIR MUSTAF;LEA GAGULIÆ;dr. sc. DRAGO CMUK;DUBRAVKA RUSAN;MAJA REÈIÆ;TOMISLAV DELAÈ;dr. sc. SLAÐANA ŠTRKALJ-IVEZIÆ;VJEKOSLAV KREŠIMIR BENUSSI;DEMOKRATSKA STRANKA ŽENA - DSŽ;MARIJA JELINÈIÆ;DUNJA KOVAÈIÆ;KATARINA BURIÆ;ZVJEZDANA KOMLJENOVIÆ;NADA PINEK;MILICA VUKIÆ;VESNICA FERÈEC;MARTINA DRAŽETIÆ;NIKOLA KOMLJENOVIÆ;DEJAN SUBOTIÆ;TOMISLAV BIŠKUP;BRANKO BUDINSKI;BRANIMIR MILANKOVIÆ;ZAHIR KURBAŠIÆ;HRVATSKA BRANITELJSKA PUÈKA STRANKA - HBPS;NAJA ŠEBALJ;ANKICA ÈATAK;SILVANA LUKMAN;IVANA ORLIÆ;DRAGA ARAPINAC;MIHAELA PRELEC;VIŠNJA BASTALIÆ;ANKA REBROVIÆ;ŠIDA ŠIŠKIÆ;MIRA TELIŠMAN;ANICA ILIÆ;DIJANA MIŠIÆ;JANJA BRTAN;MAKS BACKES;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;DAVOR IVO STIER;DAMIR JELIÆ;doc. dr. sc. TOMISLAV ÆORIÆ;TOMISLAV KLARIÆ;TOMO MEDVED;DOMAGOJ IVAN MILOŠEVIÆ;IVAN ÆELIÆ;DRAGO PRAHIN;MARIJA JELKOVAC;MAJDA BURIÆ;TOMISLAV LIPOŠÆAK;dr. sc. JASENKA ŠTIGLEC;mr. sc. HRVOJKA BOŽIÆ;TOMISLAV MASTEN;HRVATSKA RADNIÈKA STRANKA - HRS;MLADEN NOVOSEL;MARIJAN SVIBEN;ŽELJKA BRADAÈ;IVAN ERDELJAC;DRAGAN MOMÈILOVIÆ;SNJEŽANA MAMIÆ;STANKO MAJDAK;ALEKSANDRA BLAJHER ŠIMIÆ;GORAN DUJMIÆ;DIVNA POPOVIÆ ŠOLAJA;MARIJA DRENSKI;DARIO JURIN;MARKO BOGDAN;ANJA TOMAS;HRVATSKI LABURISTI - STRANKA RADA - LABURISTI;ZORISLAV ANTUN PETROVIÆ;SANJA BUTORAC;LUCIJANO SEVER;MAJA LONÈAR;ŽELJKO BEKO;GORDANA PASANEC;SINIŠA PASANEC;ANTEA PAMUKOVIÆ;GORAN KOVAÈ;SANJA OMAZIÆ;DALIBOR SUŠIÆ;SLOBODANKA TADIÆ;IVAN SKENDER;GORAN ÈOP;NEZAVISNA LISTA STIPE PETRINA - NLSP, SLOBODNA HRVATSKA - SH, POKRET ZAJEDNO, ODRŽIVI RAZVOJ HRVATSKE - ORaH;mr. sc. KARINO HROMIN STURM;MARINA ÈEPRNJA;DAMIR-KRISTIJAN ROGINA;TEODOR OSTOJIÆ;mr. sc. MELITA BESTVINA;DRAŽEN DOMITROVIÆ;MLADEN GRABERSKI;PETRA MOHORIÈ;mr. sc. SANJA BEGOVIÆ-MEDVEREC;SUZANA MIŠIÆ;DAMIR MEDVEŠEK;ŽARKO FLANJAK;SAŠA PETROVICKI;VESNA KUTEROVAC;PRIMORSKO GORANSKI SAVEZ - PGS, ISTARSKI DEMOKRATSKI SABOR - IDS, LISTA ZA RIJEKU - RI;TANJA JAKOVAC;MIRELLA MLADIN;NELIDA POGAÈIÆ;MARKO SOBOTINÈIÆ;BRANKO BOŽIÆ, dr. med.;DAMIR ZANOŠKAR;DAVID MAROT;GIOVANNI DAMJANOVIÆ;FERUCIO BURBURAN;PATRICIA ÈARGONJA;ANA TROŠELJ;mr. sc. ŽELJKA JURÈIÆ KLEKOVIÆ, prof.;SNJEŽANA PODOBNIK;FRANJO RUŽIÆ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, HRVATSKA SELJAÈKA STRANKA - HSS, HRVATSKA STRANKA UMIROVLJENIKA - HSU;MILANKA OPAÈIÆ;KREŠO BELJAK;MIHAEL ZMAJLOVIÆ;TOMISLAV SAUCHA;DAMIR MATELJAN;SAŠA ÐUJIÆ;IVAN RAÈAN;NATALIJA BUKOVEC-OSMIÈEVIÆ;KRISTIJAN RAJŠEL;JOSIP KASUN;VIŠNJA FORTUNA;SANJA UDOVIÆ;TOMISLAV STOJAK;VESNA NAÐ;STRANKA HRVATSKI VIDIK - SHV;GORDANA ANIÆ;MILUTIN STANKOVIÆ;IVAN MAMIÆ;PETRA KLOBUÈAR;ŽELJKO BRBOT;BARBARA STANKOVIÆ;ŽELJKO CRNÈIÆ;NADA BADANJAK;SANJA MARINOVIÆ;LIDIJA BULJAN;NEDELJKO TOT;JASMIN PLAŠÆAK;GORAN KLOBUÈAR;KRUNOSLAV PREKSAVEC;STRANKA RAZVOJA I NAPRETKA - SRNA;LEONARD VESEL;MARINO TURK;BLAŽENKO OŽBOLT;DAVORKA LINIÆ;ANTUN MALNAR;MONIKA RAMLJAK;IVAN ŽAGAR;MARIJAN PLEŠE;LJUBICA POJE;RATKO PAVLIÆ;GORAN LINIÆ;ALEN JANEŠ;IVANKA WOLF;PERO MAMUŠA;STRANKA UMIROVLJENIKA - SU;LAZAR GRUJIÆ, dipl. oec.;KRISTINA TRAMPUŠ, bacc.;ÐURO MUÈNJAK;MARTINA VOJVODIÆ, mag. ing. agr.;DUŠAN PJEVAC;SILVIJA ANDRAŠEK DRVENKAR, dipl. oec.;ŽARKO DELAÈ, dipl. ing.;VLADIMIR ŠTEFANAC, dipl. ing.;IVAN PINTUR;ANICA JELIÆ;SUZANA ZRNA, dipl. oec.;STJEPAN KAZIÆ;GORANKA SKRBIN;ANTUN ŠPORER;ŽIVI ZID, PROMIJENIMO HRVATSKU, AKCIJA MLADIH, ABECEDA DEMOKRACIJE;IVAN VILIBOR SINÈIÆ, bacc. ing.;NIKO DELIÆ;DANIJELA MAMIÆ;DAMJAN VUCELIÆ;BOJAN KURELIÆ;HELENA STOJKOVIÆ;DRAGICA BENIÆ;SLAVEN HORVAT;DAVOR BANOVIÆ;JASNA HRUŠEVAR;STJEPAN VUJANIÆ;SANDRA JURÈEVIÆ;IVA TADIÆ;DAVOR JURÈIÆ
007;VII. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;BAKAR;001;BAKAR;PROSTORIJE VIJEÆNICE GRADA BAKAR;PRIMORJE 39/2;1218;602;602;591;11;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2;0;0;0;0;1;0;0;0;0;0;0;0;0;4;1;0;0;0;0;1;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;4;1;0;2;0;14;0;0;4;0;0;0;0;0;6;1;0;0;0;0;0;1;0;1;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;1;0;0;0;0;0;219;17;0;0;171;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;0;1;0;0;0;0;0;0;0;0;0;0;23;2;1;0;0;0;0;0;1;0;1;0;1;0;1;231;78;7;3;2;0;7;11;0;1;1;2;1;13;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1;0;0;0;0;0;1;0;0;1;2;0;0;0;39;25;0;0;0;1;0;0;0;0;0;0;0;0;1
007;VII. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;BAKAR;002;KRASICA;PROSTORIJE MJESNOG ODBORA KRASICA;KRASICA 230A;1183;579;577;562;15;3;0;0;0;0;0;0;0;0;0;0;0;0;0;2;16;3;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;28;4;2;1;0;0;0;0;1;2;2;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;205;12;0;2;132;17;7;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39;2;0;1;2;1;9;0;0;0;3;3;1;0;1;205;88;5;1;1;1;5;14;0;1;0;8;4;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;28;0;0;0;0;0;0;0;0;0;0;0;0;3
007;VII. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;BAKAR;003;ŠKRLJEVO;PROSTORIJE DOMA KULTURE ŠKRLJEVO;ŠKRLJEVO, ŠKRLJEVO BB;1066;638;638;618;20;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;10;4;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37;4;0;1;0;0;0;1;1;0;0;0;2;0;0;8;1;0;0;0;0;1;0;0;0;0;0;0;1;0;6;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;217;13;1;0;141;5;4;0;0;0;5;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;30;3;2;1;1;1;0;0;0;0;1;0;0;1;0;232;68;16;4;1;0;2;9;0;2;1;12;3;0;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;60;39;0;1;0;0;0;0;0;0;0;0;0;0;2
007;VII. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;BAKAR;004;KUKULJANOVO;PROSTORIJE DOMA KULTURE KUKULJANOVO;KUKULJANOVO 205B;813;480;480;463;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;3;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;35;10;0;0;0;0;0;2;2;0;1;0;0;0;0;3;2;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;153;1;0;0;110;7;2;1;0;2;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;2;1;0;0;0;0;0;1;0;4;2;0;0;0;191;68;17;1;2;0;4;8;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;27;17;0;0;0;0;0;0;0;0;0;0;0;0;1
007;VII. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;BAKAR;005;HRELJIN;PROSTORIJE DOMA KULTURE HRELJIN;HRELJIN 119;1232;629;629;609;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;3;1;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;1;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;48;7;1;0;0;0;5;1;3;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;208;12;1;1;144;8;2;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;32;1;0;0;1;3;0;0;1;0;0;2;0;1;2;223;69;10;0;0;1;16;5;2;0;0;3;1;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;1;0;0;0;0;0;0;0;67;44;0;1;0;0;1;0;0;0;0;0;0;0;1
007;VII. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;BAKAR;006;HRELJIN;"PROSTORIJE NK ""NAPRIJED""";HRELJIN, MEJA GAJ BB;627;297;297;291;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;4;0;0;1;0;3;0;5;6;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99;0;0;3;62;5;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;4;1;0;0;2;0;1;0;1;1;0;0;1;2;108;42;8;1;0;2;3;5;1;0;1;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;27;13;0;0;0;1;1;0;0;0;0;0;0;0;2
007;VII. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;BAKAR;007;ZLOBIN;PROSTORIJE DOMA KULTURE ZLOBIN;ZLOBIN 157;255;162;162;160;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68;2;0;2;54;1;1;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1;0;0;0;0;1;0;0;0;0;0;0;0;0;54;23;5;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0
007;VII. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;BAKAR;008;PRAPUTNJAK;PROSTORIJE PODRUÈNE ŠKOLE PRAPUTNJAK;PRAPUTNJAK 101;482;304;304;299;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;3;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;2;0;0;0;0;1;0;0;2;1;0;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;115;5;0;0;91;4;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;110;36;10;2;0;1;0;4;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;20;0;0;0;0;0;0;0;0;0;0;0;0;1
007;VII. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;ÈABAR;001;BIRAÈKO MJESTO BR. 1 U ÈABRU;VIJEÆNICA GRADA ÈABRA U ÈABRU;NARODNOG OSLOBOÐENJA 2, ÈABAR;662;297;297;291;6;3;0;0;0;0;0;0;0;0;0;1;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;2;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;54;8;0;2;7;3;2;0;0;0;5;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;146;17;4;0;0;0;0;1;0;67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;4;2;0;0;2;0;0;0;1;0;0;0;0;0;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;28;19;0;0;0;0;0;0;0;0;0;0;1;0;0
007;VII. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;ÈABAR;002;BIRAÈKO MJESTO BR. 2 U PREZIDU;ZGRADA OSNOVNE ŠKOLE U PREZIDU;GORANSKA 103, PREZID;728;321;321;314;7;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;1;0;0;0;0;0;0;0;20;3;0;0;0;0;0;0;0;1;0;0;0;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;63;13;1;0;4;3;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;8;2;0;0;0;0;0;0;2;0;0;0;0;0;0;152;36;3;0;0;0;0;6;0;37;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;5;1;1;0;0;0;0;1;0;1;0;0;0;1;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;31;20;0;0;0;0;0;0;0;1;0;0;0;0;0
