Rbr IJ;Naziv izborne jedinice;Rbr.županije;Županija;Oznaka Gr/Op/Dr;Grad/opæina/država;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;AUTOHTONA - HRVATSKA STRANKA PRAVA - A - HSP;NENO DOŽDOR;ANTE PETRIÈEVIÆ;ZLATKO GUDELJ;MIŠO VERAJA;VINKO JAKUS;MIRJANA KULIŠIÆ;LINA LABETIÆ;SNJEŽANA PLETIKOSA;MIRA LUÈIÆ;LJUBICA LEKO;KREŠIMIR TOPIÆ;RENKO KIRIGIN;JOSIP JURKO;DAMIR KULIŠIÆ;"""BANDIÆ MILAN 365 - STRANKA RADA I SOLIDARNOSTI"" - ""STRANKA RADA I SOLIDARNOSTI"", NARODNA STRANKA - REFORMISTI - REFORMISTI, NOVI VAL - STRANKA RAZVOJA - NOVI VAL, HRVATSKA SELJAÈKA STRANKA - STJEPAN RADIÆ - HSS - SR, BLOK UMIROVLJENICI ZAJEDNO - BUZ";IVO BALDASAR;PERO VIÆAN, dipl. iur.;DAMIR ÆOSIÆ;RINA PROPADALO;ANTE PULJIZ;MARIJANA TOMAŠ;MARA PEZO;DAMNJAN ALERIÆ;prof. dr. sc. MLADEN BUŠIÆ, dr. med.;MARIJA SEKELEZ;NEDA ZORIÆ;PAULINA BAÈIÆ, mag. rel. publ.;SEBASTIAN VUKUŠIÆ;dr. sc. HRVOJE KAÈIÆ;HRVATSKA STRANKA PRAVA - HSP, HRVATSKA ÈISTA STRANKA PRAVA - HÈSP, AKCIJA ZA BOLJU HRVATSKU - ABH, OBITELJSKA STRANKA - OS;LUKA PODRUG;RANKO TOPIÆ;DAVOR LJUBIÈIÆ;MARIN PERKOVIÆ;IVICA CUMELJAN;ANA PERÈIÆ;IVICA RADOŠEVIÆ;IVICA JULARIÆ;ANÐELKA ORLIÆ;VICKO KRAJANÈIÆ;IVICA URSIÆ;VLADO DAJAK;JULIJA KATIÆ;GORDANA BOŽIKOVIÆ;HRVATSKA STRANKA PRAVA DR. ANTE STARÈEVIÆ - HSP AS, DEMOKRATSKI SAVEZ NACIONALNE OBNOVE - DESNO, HRVATSKA KRŠÆANSKA DEMOKRATSKA UNIJA - DR. MARKO VESELICA - HKDU - DR. MARKO VESELICA, UJEDINJENA STRANKA PRAVA - USP, HRVATSKA DEMOKRATSKA STRANKA - HDS;IVAN TEPEŠ;IVAN ŠIMUNOVIÆ;VLADE MATIJAŠEVIÆ;PETAR MUSTAPIÆ;BERNARDICA VEKARIÆ;SANDRA RUSSO ZELENOVIÆ;MARIJANA MAJIÆ;KRISTIJAN SINDIK;NIKŠA DUBELJ;ANA LUBURIC;KRISTINA ŽIVKUŠIÆ;KRISTIJAN MIHALJEVIÆ;VICENCIJE MARKOVIÆ;ANTE MIHALJEVIÆ;MOST NEZAVISNIH LISTA - MOST;mr. sc. BOŽO PETROV, dr. med.;dr. sc. IVAN KOVAÈIÆ;IVANA NINÈEVIÆ-LESANDRIÆ, dipl. oec.;MARO KRISTIÆ, mag. oec.;ANTE PRANIÆ, mag. ing.;ANTE METER, mag. ing.;NADA JELIÈIÆ, prof.;ZDENKO OMRÈEN;IVAN BARIŠIÆ;dr. sc. KATJA ŽANIÆ;dr. art. KRISTINA KOJAN GOLUŽA;NERA CVITANIÆ;ANA LIPANOVIÆ, bacc. oec.;MARIO KLOBUÈIÆ, prof.;PAMETNO, ZA GRAD;MARIJANA PULJAK;KRISTINA VIDAN;dr. sc. ŽELJKO DOMAZET;dr. sc. ALEN HARAPIN;dr. sc. LUCIJA PULJAK;MARIO GRBIÆ;IVANA GABRIÆ;MLADEN BANOVIÆ;MARIJANA PEZELJ;dr. sc. RANKO GOIÆ;NATALIA BAZINA;dr. sc. BRANIMIR URLIÆ;VESNA ÈUBRIÆ;JAKOV PRKIÆ;BLOKIRANI - DEBLOKIRAJMO HRVATSKU;TOMISLAV PRSKALO;STIPE NOSIÆ;PAVAO PINJUŠIÆ;IRIS BORÈIÆ;MARIJANA RADIÆ;ANKICA TOKIÆ;KATARINA GVOZDANOVIÆ;TOMISLAV GALE;DARKO BATINIÆ;LEO DUNDIÆ;JASMINKA KORDA;MARIO DOTUR;JOZO BALIÆ;IVICA ŠUŠNJA;HRVATSKA BRANITELJSKA PUÈKA STRANKA - HBPS;JURICA VRVILO;DANIJELA FARAGO;LJILJANA KRŽELJ, dr. med.;TAMARA BUKIÆ, dr. vet. med.;ANITA HRNKAŠ;EDUARD KRŽELJ, prof.;MOMIR STOJANAC;ŽELJKO GILJANOVIÆ;ŽELJKO BARIÈEVIÆ;IVICA KRIŽANOVIÆ;KRUNOSLAV DRABUF;SANJA BURICA;IVICA GAGIÆ;IVANA MIMICA;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA DEMOKRŠÆANSKA STRANKA - HDS;DAMIR KRSTIÈEVIÆ;ANDRO KRSTULOVIÆ OPARA;BRANKO BAÈIÆ;PETAR ŠKORIÆ;LOVRO KUŠÈEVIÆ;prof. dr. sc. GORAN DODIG;MATO FRANKOVIÆ;BLAŽENKO BOBAN;mr. sc. MARIJA VUÈKOVIÆ;ANTE BABIÆ;ANTE BAÈIÆ;SANJA PUTICA;mr. sc. DRAGICA ROŠÈIÆ;prof. dr. sc. MILAN KUJUNDŽIÆ;HRVATSKA STRANKA PRAVA - 1861 - HSP - 1861;DAMIR BANIÆ;GRGO CAGLEVIÆ;IVANA MILAS;ZORA LEŠIÆ;MANUEL GOSPODNETIÆ;NEVENKA DRPIÆ;SNJEŽANA PERIŠIÆ;MIROSLAV KRSTULOVIÆ;STJEPAN DUNDIÆ;ZRINKA MRŠIÆ;DAVOR PAVIÈIÆ;DARIJA BULJAN;MARINKO DRLJE;NIKOLINA RADMILO;NEZAVISNA LISTA STIPE PETRINA - NLSP, SLOBODNA HRVATSKA - SH, POKRET ZAJEDNO, ODRŽIVI RAZVOJ HRVATSKE - ORaH, STRANKA UMIROVLJENIKA - SU;GORAN JUGOVIÆ;JURE STANIÆ;LIVIJA PLANÈIÆ;DAVORKA KRIŽEVIÆ;ROKO NAKIR;NATALIA VIŠIÆ;MILICA CVRLJE;KATIJA ŠARIÆ;MARINA VLAIÆ;ROBERT ÈARIJA;KATARINA NAKIÆ-ALFIREVIÆ;SARA ALUJEVIÆ;HRVOJE JELAVIÆ-ŠAKO;ZORAN BLAGOJEVIÆ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, HRVATSKA SELJAÈKA STRANKA - HSS, HRVATSKA STRANKA UMIROVLJENIKA - HSU;BORIS LALOVAC;BRANKO GRÈIÆ;ARSEN BAUK;DARKO PARIÆ;DAVOR PENIÆ;SRÐAN GJURKOVIÆ;NIKŠA PERONJA;STIPO GABRIÆ;OLGA MURATTI;TONÆI BILIÆ;IVANA MARKOVIÆ;TONKA IVÈEVIÆ;KLEMENT BAŠIÆ;LJUBICA BRAILO;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP;RANKO ADORIÆ, dipl. ing.;ZORAN IVÈEVIÆ, dipl. ing.;DANICA VOJNOVIÆ;GORAN PERIÆ, dr. med.;NIKOLAY PECHALOV;JUSTINA KORDIŠ;doc. dr. sc. PAVLE VUKÈEVIÆ;TADIŠA MILOŠEVIÆ, dipl. iur.;HABIBA KUÈANIN;IVAN GRBEC, prof.;ANA LUNIÆ;IVO TUDOR;DORIS JANKOVIÆ BALENTIÆ;JANJA RAKIÈEVIÆ;ŽIVI ZID, PROMIJENIMO HRVATSKU, AKCIJA MLADIH, ABECEDA DEMOKRACIJE;HRVOJE KUKULJICA, dipl. ing.;TONÈI DUJMOVIÆ;MARIJA DIVIÆ;JADRANKA MATIJEVIÆ;IVO GRGA;BRANKA KURELIÆ, dipl. oec.;VESNA RIBIÆ;BAJO MARTIÆ, dipl. ing.;ŽELJKO HENEZI;TONI HAN;IVAN KOVAÈIÆ;IVANA SPICIJALIÆ;ANTONIJA CVITKOVIÆ;TOMISLAV MAMIÆ
010;X. IZBORNA JEDINICA;19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;001;BRSEÈINE;MJESNI ODBOR BRSEÈINE;BRSEÈINE BB;92;58;58;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;11;0;0;0;0;0;8;0;0;0;0;2;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
010;X. IZBORNA JEDINICA;19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;002;DUBRAVICA;KUÆA ANE MILIÆ;DUBRAVICA BB;33;27;27;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
010;X. IZBORNA JEDINICA;19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;003;DUBROVNIK;GIMNAZIJA I;FRANA SUPILA 3;808;433;433;427;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;1;22;0;0;0;0;0;0;0;0;0;3;0;0;3;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;76;27;3;0;28;0;0;0;0;1;1;0;0;1;0;11;7;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;143;30;2;2;0;0;5;40;2;4;0;0;26;0;15;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;142;50;4;7;0;1;11;0;1;22;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;4;0;1;0;0;0;2;0;0;0;0;0;1;0
010;X. IZBORNA JEDINICA;19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;004;DUBROVNIK;GIMNAZIJA II;FRANA SUPILA 3;682;334;334;329;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;9;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49;20;2;1;18;1;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;93;33;2;1;0;0;1;22;0;0;0;0;13;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;149;55;6;7;0;0;12;0;0;23;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;6;0;0;0;0;0;1;0;0;0;0;0;0;0
010;X. IZBORNA JEDINICA;19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;005;DUBROVNIK;UGOSTITELJSKA ŠKOLA;ŽUPSKA BROJ 2;547;305;304;301;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;22;2;0;11;0;0;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;107;25;0;1;2;1;4;25;0;2;1;0;20;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;119;47;4;3;0;0;6;0;4;23;0;0;0;0;1;3;0;2;0;0;0;0;0;0;1;0;0;0;0;0;13;5;0;0;0;0;0;0;0;0;0;0;0;0;0
010;X. IZBORNA JEDINICA;19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;006;DUBROVNIK;"OSNOVNA ŠKOLA ""MARINA GETALDIÆA"" DVORANA B";N.GUÈETIÆA 1;859;425;425;420;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;10;0;0;0;0;0;0;0;0;0;1;0;1;5;0;0;0;0;3;0;0;0;0;0;1;0;0;0;4;1;0;0;0;0;1;0;0;1;0;0;0;0;0;63;24;0;0;27;0;0;0;0;0;0;0;0;0;0;8;1;0;3;0;0;1;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;178;47;1;3;1;0;3;35;0;5;2;0;25;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;119;37;2;2;0;3;6;0;2;16;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;11;0;0;0;0;1;0;0;0;0;0;0;0;0
010;X. IZBORNA JEDINICA;19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;007;DUBROVNIK;"OSNOVNA ŠKOLA ""MARINA GETALDIÆA"" DVORANA A";N. GUÈETIÆA 1;1076;559;559;539;20;4;0;0;1;0;0;0;0;0;0;0;0;0;0;2;13;1;9;0;1;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;0;0;3;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;109;48;1;1;40;0;0;0;0;0;0;0;0;0;1;9;2;0;0;0;0;1;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;174;53;0;6;0;0;2;47;0;5;3;0;26;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;179;77;5;6;0;6;7;0;5;24;1;0;0;0;5;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;37;11;0;0;0;0;0;0;0;0;0;1;0;0;0
010;X. IZBORNA JEDINICA;19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;008;DUBROVNIK;POSLIJE DIPLOMSKO SREDIŠTE;DON FRANA BULIÆA 4;1031;536;536;529;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;11;0;0;0;0;0;0;0;0;0;0;0;1;5;1;0;0;0;0;0;0;0;0;0;2;0;0;0;3;2;0;0;0;0;0;0;0;0;0;1;0;0;0;62;27;3;0;25;0;0;0;0;0;0;0;0;0;0;11;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;204;77;1;13;0;1;0;32;0;2;0;0;27;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;190;81;4;8;1;3;6;0;1;38;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;34;6;1;0;1;0;1;2;1;0;0;0;0;0;0
010;X. IZBORNA JEDINICA;19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;009;DUBROVNIK;"OSNOVNA ŠKOLA ""MARINA DRŽIÆA""";VOLANTINA  6;1335;718;718;703;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;16;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0;1;0;0;0;0;0;110;45;4;0;37;2;0;0;0;0;0;0;0;1;0;19;6;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;252;70;1;1;0;5;3;49;1;8;0;0;39;0;17;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;258;77;6;4;1;0;15;0;5;73;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;11;1;3;1;0;0;0;0;0;0;0;0;0;0
010;X. IZBORNA JEDINICA;19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;010;DUBROVNIK;ZAVOD ZA ZAPOŠLJAVANJE;V. NAZORA  5;1002;502;502;487;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;1;16;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;74;34;1;1;23;0;0;0;1;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;169;56;1;3;0;3;0;47;0;0;0;0;15;0;8;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;181;71;2;5;0;1;18;0;3;30;0;1;0;0;3;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;22;8;0;0;0;1;0;0;0;1;0;0;0;0;0
