Rbr IJ;Naziv izborne jedinice;Rbr.županije;Županija;Oznaka Gr/Op/Dr;Grad/opæina/država;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;AUTOHTONA - HRVATSKA STRANKA PRAVA - A - HSP;ROBERT MARKOVÈIÆ;BORIS TOPOLOVEC;DRAGUTIN JAMBREÈINA;ŽELJKO ANTONÈIÆ;FRANC TURNAR;ANTONIJO LUGAR;MARIJA LUPINSKI;MARINA NOVAK;LJILJANA FARKAŠ;PETRA ANTONÈIÆ;NADA LAZAREVIÆ;IVANÈICA JAMBREÈINA;IVAN PAVUSA;TIHOMIR KRIŽANIÆ;MOST NEZAVISNIH LISTA - MOST;DENIS GRGUROVIÆ;VELIMIR KUÈKO;SONJA FAŽON;SINIŠA MARKULINÈIÆ;NENAD MESIÆ;LEONARDA FLUKSEK;BOŽO IVOŠEVIÆ;GORDANA KUŠAR;TIHANA TUŠEK;HELENA FRANÈIÆ;SUZANA CERJAN;MATIJA JANÈIKIÆ;VESNA HORVAT;MIRJANA FLUKSEK;MOŽEMO! - POLITIÈKA PLATFORMA, NOVA LJEVICA - NL, RADNIÈKA FRONTA - RF, ODRŽIVI RAZVOJ HRVATSKE - ORAH, ZAGREB JE NAŠ!, ZA GRAD;NATAŠA HLABAN;DARKO CIGLENEÈKI;ANA MIKLEUŠEVIÆ;PREDRAG DARABOŠ;SANDRA CRNKOVIÆ;ZORAN PUSIÆ;BARBARA GAŠPAR;IVAN ŠPOLJARIÆ;RENATA ŠALKOVIÆ;BOŽIDAR KIC;RUŽICA KARTELO;DANIJEL PIKUTIÆ;MAJA HERCEG;SINIŠA MILIÈIÆ;NEOVISNI ZA HRVATSKU - NHR, HRVATSKA STRANKA PRAVA - HSP, GENERACIJA OBNOVE - GO;VLADIMIR KNEŽ;ROBERT CIFREK;NEDO ŠAPINA;IVANKA BUŠLJETA;IVONA ŠPRALJA;TOMISLAV MAJNARIÆ;LEONI GLAD;TOMISLAV BAGO;TIHOMIR BORBAŠ;ÐURÐICA SRUK-VRATARIÆ;KATARINA SVETEC;ILIJA KRIŽIÆ;VERONIKA AUGUSTINOVIÆ;DAMIR VIDAKOVIÆ;STRANKA S IMENOM I PREZIMENOM, PAMETNO, FOKUS;DARIO CAREV;ANDRIJA RANOGAJEC;DARKO ZVER;BERNARD TOPLAK;NATAŠA SAJKO;ASJA SUPANÈIÆ BALOG;JANJA VARGA;TOMISLAV BEDEKOVIÆ;BRUNO CESAREC;ANICA BENGER;DENIS VLAŠIÆ;ZLATKA NOVOSEL BARIÈEVIÆ;LJUBICA GORIÈKI;VIKTOR ŠIMUNIÆ;"""BANDIÆ MILAN 365 - STRANKA RADA I SOLIDARNOSTI"" - ""365 STRANKA RADA I SOLIDARNOSTI""";LUKA GRABUŠIÆ;IVAN PEPELKO;TIHANA GJURAŠIN;MLADEN GALIN;ALEN PEER;SANDRA BELINIÆ;IVAN ŠTEFEK;ŽELJKA KRAMARIÆ;MIRJANA PALÈEC;MARIO ŠKRNJUG;SABINA DREMPETIÆ;NEDELJKA HABAZIN;LADISLAV PREŽIGALO;TOMISLAV KONÈEVSKI;BLOK UMIROVLJENICI ZAJEDNO - BUZ;MIROSLAV VOJVODIÆ;ANTUN LINK;DRAGUTIN POLAŠEK;RUŽICA ŽIHER;ANKA STARIJ;STEVO HUDJA;KATA MUŽJAK;ŽELJKO OSREÈKI;FRANJO HUBAK;LUÈANO DAUTBEGOVIÆ;VJEKOSLAV ZAJEC;ZVONKO HREN;ANICA POLEZARI;MIROSLAV PULJIÆ;DEMOKRATI, HRVATSKI LABURISTI - STRANKA RADA;MARINA GRADIŠER;JADRANKA LUKAVEÈKI;JASNA RAKIÆ;DARKO CVITKOVIÆ;IVICA POŽGAJ;BORIS GRGIÆ;MIRKO POSAVEC;DARINKA PERGAR;KARLO KORUNEK;DRAGO BENKO;SIMONA MURKOVIÆ;DANIJELA ÐUNÐUŠ;ÐURÐA ÈAMIÆ;MATIJA LADIÆ;DOMOVINSKI POKRET MIROSLAVA ŠKORE - DOMOVINSKI POKRET, HRVATSKI SUVERENISTI, BLOK ZA HRVATSKU - BLOK, HRVATSKA KONZERVATIVNA STRANKA - HKS, HRAST - POKRET ZA USPJEŠNU HRVATSKU, STRANKA UMIROVLJENIKA - SU, ZELENA LISTA;DAVOR DRETAR;LADISLAV ILÈIÆ;HRVOJE ŠLEZAK;MLADEN PTIÈAR;SANDRA MAJSEC;ANTE RONÈEVIÆ;IGOR FRANOLIÆ;NEVENKA LONÈARIÆ JELAÈIÆ;BLAŽENKA FILIPAN-ŽIGNIÆ;ZDENKO BEŠTEK;MIRELA MIKLOŠIÆ;TIN HRGOVIÆ;MARIJA HERTELENDI;ÐURÐA BOSNAR;HRVATSKA DEMOKRATSKA STRANKA - HDS;DEJAN KORENT;BOŽO RENDIÆ;BARICA VINCEK;STJEPAN ÈASEK;ZVONKO KOLAREK;DENIS STOLNIK;NIKOLA KUHAR;DAVOR ŠIPEK;BRANKO PITEŠA;MARIJAN BEHIN;MATIJA MEŠTRIÆ;MATIJA BREZOVEC;KRISTINA PINTARIÆ;MIODRAG HABULAN;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;ŽARKO TUŠEK;DARKO HORVAT;ANÐELKO STRIÈAK;DAMIR HABIJAN;ZORAN GREGUROVIÆ;LJUBOMIR KOLAREK;MARIJAN KOSTANJEVAC;LJUBICA JEMBRIH;DRAŽEN SRPAK;NADICA DREVEN BUDINSKI;EMIL GREDIÈAK;VJERAN VRBANEC;NEVENKA BENIÆ;SINIŠA JENKAÈ;HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS;PREDRAG ŠTROMAR;NENAD HRANILOVIÆ;ROBERT ŠPLAJT;MARIJA RIBIÆ;BERNARDA TOPOLKO;BOŽICA MAKAR;JASMIN KRIZMANIÆ;KAROLINA JUZBAŠIÆ;MIRKO KOROTAJ;BOŽIDAR NOVOSELEC;MARIJA PREKUPEC;ANÐELKO FEREK-JAMBREK;MILORAD BATINIÆ;BLAŽENKA DIVJAK;HRVATSKA STRANKA BUDUÆNOSTI - HSB;BRANIMIR BUNJAC;NEVEN TOPLEK;MIRJANA ÆUTUK;JOSIP TURKALJ;SAŠA SVRTAN;FRAN ŠURINA;FRANCIŠKA VIDA;MATIJA HRANJEC;SAŠA PETRI;ANJA NOVAK;KRISTINA ŠTEBIH;ANKA HUKIÆ;VALENTINA ÈOLIK;MARKO RANÈIÆ;HRVATSKA STRANKA GRAÐANSKOG OTPORA - HSGO;TAMARA TRUBELJA;LIDIJA CIGELJEVIÆ-VUKOVIÆ;ŽELJKA RAKIÆ;MARINA ÈRNJAK;ANTUN TOPOLOVEC;BARICA GOTIÆ;VESNA VUKOVIÆ;HRVOJE PODOBNIK;KATICA MARÈEC;BLAŽENKA ŠÆETINEC;BISERKA HAAG;ZORAN JERIÆ;NIKO ZVONIMIR PERKUŠIÆ;KATARINA BEŠIÆ;NARODNA STRANKA - REFORMISTI - REFORMISTI, HRVATSKA SELJAÈKA STRANKA BRAÆE RADIÆ - HSS BRAÆE RADIÆ, STRANKA HRVATSKIH UMIROVLJENIKA - UMIROVLJENICI - UMIROVLJENICI;RADIMIR ÈAÈIÆ;NATALIJA MARTINÈEVIÆ;ANÐELKO TOPOLOVEC;DARKO DANIA;TOMISLAV PALJAK;ROBERT VUGRIN;DAVOR KLJAK;MARIJA PUH;MIRA LETIÆ;JELENA PAVLEKOVIÆ;VESNA BEDNJANIÆ;TANJA TROJKO;VLATKA VRÈEK KRAJAÈIÆ;SANDRA HERMAN;SLOBODNA HRVATSKA;DANIJEL GALOVIÆ;DEJAN POSAVEC;RAJKO DONDUR;NEVENKA CEGLEC;DRAGICA KARLOVÈEC;BRANKO HLEB;JADRANKA MEÐERAL;DRAGA FEGEŠ;MILA ŽELJEZNJAK;ANDREJA KRÈAR;MIRJANA SPAJIÆ;NEDJELJKA LONÈAR;ZVONIMIR BERAKOVIÆ;IVICA ŠTRUKELJ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA SELJAÈKA STRANKA - HSS, HRVATSKA STRANKA UMIROVLJENIKA - HSU, SNAGA - STRANKA NARODNOG I GRAÐANSKOG AKTIVIZMA - SNAGA, GRAÐANSKO-LIBERALNI SAVEZ - GLAS, ISTARSKI DEMOKRATSKI SABOR - IDS, PRIMORSKO GORANSKI SAVEZ - PGS;ŽELJKO KOLAR;MATIJA POSAVEC;BARBARA ANTOLIÆ VUPORA;STJEPAN KOVAÈ;ANDREJA MARIÆ;ŽELJKO PAVIÆ;JASENKA AUGUŠTAN-PENTEK;MIROSLAV MARKOVIÆ;JOŠKO KLISOVIÆ;ÐURÐICA SLAMEK;MLADEN NOVAK;JADRANKA BAHLEN;BOŠKA BAN VLAHEK;SINIŠA HAJDAŠ DONÈIÆ;ŽIVI ZID, PROMIJENIMO HRVATSKU - PH, HRVATSKA SELJAÈKA STRANKA - STJEPAN RADIÆ - HSS - SR, STRANKA IVANA PERNARA - SIP, HRVATSKA STRANKA SVIH ÈAKAVACA KAJKAVACA I ŠTOKAVACA - HSSÈKŠ, ZAGORSKA STRANKA ZA ZAGREB - ZSZ, NEZAVISNA LISTA STIPE PETRINA - NLSP;DOMINIK VULETIÆ;SNJEŽANA SABOLEK;NEDJELJKO BABIÆ;LJUBOMIR BRUÈIÆ;DRAGUTIN HANŽEK;DARINKA BISTROVIÆ;JASNA HRLEC;ANDREA JERNEIÆ;MILJENKO HRENEK;ALAN GOTT;IVAN BENÈINA;JADRANKA PEŠT;VESNA SOBOÈANEC;DENIS MARTINIÆ
003;III. IZBORNA JEDINICA;20;MEÐIMURSKA ŽUPANIJA;grad;ÈAKOVEC;001;ÈAKOVEC;"ZGRADA DJEÈJEG VRTIÆA ""BAMBI""";ULICA BANA JOSIPA JELAÈIÆA 25;1097;546;546;533;13;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;2;0;2;1;0;22;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39;0;0;19;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;33;3;5;5;1;1;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78;3;36;4;0;1;3;0;0;2;0;0;2;0;0;15;1;6;0;0;0;0;0;6;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;0;0;1;0;0;0;0;0;0;0;1;0;0;4;1;0;0;0;0;0;0;0;0;2;0;0;0;0;307;0;189;1;32;7;0;0;0;1;1;0;0;10;10;9;0;1;0;0;0;0;1;0;0;0;0;0;0;0
003;III. IZBORNA JEDINICA;20;MEÐIMURSKA ŽUPANIJA;grad;ÈAKOVEC;002;ÈAKOVEC;I. OSNOVNA ŠKOLA;ULICA KRALJA TOMISLAVA 43;707;375;375;358;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;1;1;2;0;0;0;1;0;1;0;0;2;0;0;22;2;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;1;0;18;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;3;0;2;0;0;0;0;0;0;0;0;0;0;0;25;3;4;2;0;1;1;0;0;0;0;0;10;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;83;1;41;0;4;0;6;0;1;4;0;0;5;0;1;4;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;155;1;92;0;8;6;0;0;0;8;1;3;0;2;7;14;2;2;0;0;1;0;1;0;0;0;0;0;0;0
003;III. IZBORNA JEDINICA;20;MEÐIMURSKA ŽUPANIJA;grad;ÈAKOVEC;003;ÈAKOVEC;ZGRADA GRADSKE UPRAVE;ULICA KRALJA TOMISLAVA 15;710;327;327;319;8;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;2;0;20;2;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;2;0;7;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;12;2;1;2;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;0;26;3;1;0;1;0;0;2;0;0;2;0;1;5;0;3;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;181;3;106;1;15;7;0;0;0;1;1;1;2;6;6;6;2;1;0;0;0;0;1;0;1;1;0;0;0;0
003;III. IZBORNA JEDINICA;20;MEÐIMURSKA ŽUPANIJA;grad;ÈAKOVEC;004;ÈAKOVEC;ZGRADA MEÐIMURSKE ŽUPANIJE - RESTORAN;ULICA RUÐERA BOŠKOVIÆA 2;520;261;261;258;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;1;1;0;0;0;0;0;0;0;1;0;0;14;3;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;1;0;8;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;2;17;0;2;0;2;0;0;1;0;0;3;0;0;7;2;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;3;0;0;3;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;0;74;1;18;6;0;0;0;2;2;1;0;2;14;4;2;0;0;0;0;0;1;0;0;0;0;0;0;0
003;III. IZBORNA JEDINICA;20;MEÐIMURSKA ŽUPANIJA;grad;ÈAKOVEC;005;ÈAKOVEC;ZGRADA DOMA AMATERA;ULICA STJEPANA RADIÆA 1;903;465;465;459;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;30;1;1;1;1;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;2;1;23;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;2;2;1;0;0;0;0;0;0;0;0;4;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;90;2;30;0;1;0;5;0;0;11;0;0;9;0;2;9;2;6;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;242;5;118;0;14;18;0;0;0;3;4;4;0;0;12;4;0;0;0;0;0;1;0;0;1;0;0;0;0;0
003;III. IZBORNA JEDINICA;20;MEÐIMURSKA ŽUPANIJA;grad;ÈAKOVEC;006;ÈAKOVEC;DVORANA UDRUŽENJA OBRTNIKA MEÐIMURSKE ŽUPANIJE;PARK RUDOLFA KROPEKA 1;431;235;235;233;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;2;0;1;0;0;0;0;0;0;0;0;1;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;15;0;0;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;9;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;0;21;0;1;0;1;0;1;1;1;0;2;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;1;0;0;0;0;0;123;0;65;0;2;7;0;0;0;6;0;1;0;3;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
003;III. IZBORNA JEDINICA;20;MEÐIMURSKA ŽUPANIJA;grad;ÈAKOVEC;007;ÈAKOVEC;"ZGRADA GIMNASTIÈKOG DRUŠTVA  ""MARIJAN ZADRAVEC-MACAN""";TOME MASARYKA 24;559;278;278;273;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;1;0;0;0;0;0;0;0;0;0;0;0;17;1;0;1;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;1;1;8;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;17;3;0;4;0;0;0;0;1;3;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;69;3;39;2;4;0;1;0;0;2;1;1;3;0;0;2;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;5;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;126;0;64;0;12;6;0;0;0;3;0;3;2;1;9;2;0;1;0;0;0;0;0;0;0;1;0;0;0;0
003;III. IZBORNA JEDINICA;20;MEÐIMURSKA ŽUPANIJA;grad;ÈAKOVEC;008;ÈAKOVEC;"ZGRADA DJEÈJEG VRTIÆA ""VJEVERICA""";ULICA ZAVNOH-A 24A;696;433;433;427;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;1;0;1;14;1;0;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;1;0;18;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;1;0;0;0;0;0;0;0;0;0;0;0;8;0;1;1;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;112;1;67;3;3;0;7;0;1;3;0;0;4;0;0;13;1;4;0;0;4;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;7;1;0;1;0;2;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;223;1;132;0;13;7;0;0;0;6;0;3;1;2;10;4;0;0;0;0;0;0;3;0;0;0;0;0;0;0
003;III. IZBORNA JEDINICA;20;MEÐIMURSKA ŽUPANIJA;grad;ÈAKOVEC;009;ÈAKOVEC;ZGRADA GIMNAZIJE - UÈIONICA A;ULICA VLADIMIRA NAZORA 34;284;141;141;135;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;1;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;6;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;18;0;2;0;0;0;0;0;0;0;3;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68;0;36;0;3;5;0;0;0;4;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
003;III. IZBORNA JEDINICA;20;MEÐIMURSKA ŽUPANIJA;grad;ÈAKOVEC;010;ÈAKOVEC;ZGRADA III. OSNOVNE ŠKOLE;ULICA IVANA PL. ZAJCA 24;780;382;382;372;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;1;0;0;0;0;0;0;1;0;0;1;0;13;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;3;0;15;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;28;2;4;6;0;0;0;0;1;0;0;0;5;5;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;68;5;29;0;0;0;3;0;0;1;0;0;5;0;1;3;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;3;0;0;1;2;0;0;0;0;0;0;2;0;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;207;0;125;0;8;6;0;1;0;6;0;8;0;8;12;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0
