Rbr IJ;Naziv izborne jedinice;Rbr.županije;Županija;Oznaka Gr/Op/Dr;Grad/opæina/država;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;AUTOHTONA - HRVATSKA STRANKA PRAVA - A - HSP;JOSIP ÈIŠ;IVAN ÈELIKOVIÆ;SANDRA ÐURÐEK;DARKO TVRDOJEVIÆ;BOŽENA RORZECER;DARKO KUDELIÆ;JASNA ÈOLAKOVIÆ;DALIBOR TUCAKOVIÆ;MAJA GRGIÆ;ANTUN KNEŽ;VERICA HOLIK;BRANISLAV KUJUNDŽIÆ;ZORICA POLJANEK;ILIJANA TUCAKOVIÆ;MOST NEZAVISNIH LISTA - MOST;MARINA BUDIMIR;HRVOJE GALIÆ;JOSIP REÐO;MATIJA JOŠIÆ;MATO LONÈAR;MARIJA KUNÈEVIÆ;MARKO KOVAÈEVIÆ;NIKOLA RAJIÆ;MIRJANA LONÈAR;JAKICA VUKOVIÆ;ANTUN ŠARC;HANA MIJATOVIÆ;SANELA GRUIÆ;MARIJA MALOÈA;MOŽEMO! - POLITIÈKA PLATFORMA, NOVA LJEVICA - NL, RADNIÈKA FRONTA - RF, ODRŽIVI RAZVOJ HRVATSKE - ORAH, ZAGREB JE NAŠ!, ZA GRAD;RENATO ADŽIÆ;GORDANA ŠIMIÆ;BORIVOJ ZARIÆ;SANJA KONJEVIÆ;TOMISLAV KAUÈIÆ;RENATA KOLOMBO;DRAŽEN GRUBANOVIÆ;KRISTINA SKITARELIÆ;ENIS ÈAUŠEVIÆ;NIKICA NADRAMIJA;MILAN MARINKOVIÆ;PETRA KADAK;JAN TEŽAK;VANDA ŠAJER;NEOVISNI ZA HRVATSKU - NHR, HRVATSKA STRANKA PRAVA - HSP, GENERACIJA OBNOVE - GO;KREŠIMIR ŠTETIÆ;VIŠNJA RAKUŠA;SONJA DAMJANOVIÆ;IVANKA GARIÆ;IVAN FRANIÆ;IVICA BIÈANIÆ;NIKOLINA KLAIÆ;KREŠIMIR DŽOIÆ;IGOR BUKVIÆ;DRAGICA SALOPEK;IVAN MILIÆ;IVAN RAJIÈ;SNJEŽANA HANÈIÆ;DAMIR KONRAD;STRANKA S IMENOM I PREZIMENOM, PAMETNO, FOKUS;MARKO KATIÆ;KREŠIMIR MARKOVIÆ;ELVIS KALCINA;DAJANA DORIÆ;MARIO ÐURIÆ;MARIN KNEŽEVIÆ;VEDRAN RAŠIÆ;NIKOLA KOKOT;ANA BORTIÆ;NINA PLEŠE;JELENA DUVNJAK;ŽELJKA ŠELER;LORETA PERIÆ;VEDRAN SALAMON;DEMOKRATI, HRVATSKI LABURISTI - STRANKA RADA;DAVOR DOBROVIÆ;ANDREA MIKULA;IVANA MESIÆ KIŠ;LJILJANA MIHALJEVIÆ;DAVORIN PEVEC;IVAN BRKIÆ;HRVOJE SEKELEZ;DAMIR KUNTIN;RENATA USUMOVIÆ;IRENA BARDAK;ANICA ÈIZMAZIJA;MONICA DOBŠA;VALENTINA BARIŠIÆ;SINIŠA RADOJÈIÆ;DOMOVINSKI POKRET MIROSLAVA ŠKORE - DOMOVINSKI POKRET, HRVATSKI SUVERENISTI, BLOK ZA HRVATSKU - BLOK, HRVATSKA KONZERVATIVNA STRANKA - HKS, HRAST - POKRET ZA USPJEŠNU HRVATSKU, STRANKA UMIROVLJENIKA - SU, ZELENA LISTA;IVAN PENAVA;MARIJAN PAVLIÈEK;RUŽICA VUKOVAC;STJEPAN KULIÆ;DRAŽEN ÐUROVIÆ;NIKOLA BARIŠIÆ;MARKO BIKIÆ;MARTIN KORDIÆ;ANITA MATIÆ;IVANA MUJKIÆ;ELENA MIKOLÈEVIÆ;KARLO ZEÈIÆ;DUBRAVKA LIPOVAC PEHAR;ANGELA NALETILIÆ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;ZDRAVKO MARIÆ;MARIO BANOŽIÆ;JOSIP ALADROVIÆ;PERO ÆOSIÆ;MARIJANA BALIÆ;MLADEN KARLIÆ;DARKO PULJAŠIÆ;DANIJEL MARUŠIÆ;NIKOLA MAŽAR;ANKICA ZMAIÆ;JOSIP ŠARIÆ;ANAMARIJA BLAŽEVIÆ;LJUBICA MAKSIMÈUK;STEVO CULEJ;HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS;ŽELJKO MATANOVIÆ;ZDRAVKO KUZIK;MARICA VIDOVIÆ;DUŠKO SIMIÆ;VJEKOSLAV LEKO;ANTO STOJANOVIÆ;IGOR RUBIL;MIHAELA SILOVIÆ;ANITA GRABAREVIÆ;NADA BARIÈEVAC;MILE ŽAGAR;KATARINA JURIÆ;AMIRA GRABAREVIÆ;IGOR TOT;NARODNA STRANKA - REFORMISTI - REFORMISTI, HRVATSKA SELJAÈKA STRANKA BRAÆE RADIÆ - HSS BRAÆE RADIÆ, STRANKA HRVATSKIH UMIROVLJENIKA - UMIROVLJENICI - UMIROVLJENICI;PREDRAG LIVAK;NATAŠA ABRAMOVIÆ;IVICA POKAS;IVAN ZOVKIÆ;SINIŠA ŠALAMON;DRAŽEN SABOLIÆ;JASNA CVETEK-KOLIÆ;STELA ANDRUN KURTOVIÆ;MARA STOJAKOVIÆ;MIRJANA HORVAT;JOZO KAJIÆ;MONIKA COPAK;ZORAN KOPIÆ;NIKOLA LJUBAN;SNAGA SLAVONIJE I BARANJE - Snaga SiB;MATO KLARIÆ;VLADIMIR MILKOVIÆ;JOSIP BITUNJAC;ANTUN VITEZ;VESNA MARKOVAC;ZDRAVKO LJUBAS;JOSIP ÈIVIÆ;TEA JELIÆ;MAJDA HALEPOVIÆ;ALEN ŠTEFANÈIÆ;IVANA PENIÆ PACHER;IVAN BAZDANOVIÆ;MIRELA MANDARIÆ;SANJA MOR;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA SELJAÈKA STRANKA - HSS, HRVATSKA STRANKA UMIROVLJENIKA - HSU, SNAGA - STRANKA NARODNOG I GRAÐANSKOG AKTIVIZMA - SNAGA, GRAÐANSKO-LIBERALNI SAVEZ - GLAS, ISTARSKI DEMOKRATSKI SABOR - IDS, PRIMORSKO GORANSKI SAVEZ - PGS;PREDRAG FRED MATIÆ;MARINA OPAÈAK BILIÆ;DAVOR VLAOVIÆ;VINKO GRGIÆ;MARTINA VLAŠIÆ ILJKIÆ;MARIO MILINKOVIÆ;BILJANA GAÆA;MIRNA KRAJINA-ANDRIÈEVIÆ;STJEPAN GAŠPAROVIÆ;STRIBOR VALENTA;NATAŠA ÈOPÈIÆ;IVAN VLAHOVIÆ;MIHAJLA PAVKOVIÆ;ŽELJKO SABO;ŽIVI ZID, PROMIJENIMO HRVATSKU - PH, HRVATSKA SELJAÈKA STRANKA - STJEPAN RADIÆ - HSS - SR, STRANKA IVANA PERNARA - SIP, HRVATSKA STRANKA SVIH ÈAKAVACA KAJKAVACA I ŠTOKAVACA - HSSÈKŠ, ZAGORSKA STRANKA ZA ZAGREB - ZSZ, NEZAVISNA LISTA STIPE PETRINA - NLSP;GORANKA DOROTIÆ;GORAN KAJKIÆ;JASENKO STIPAC;IVANA TORDINAC;TATJANA DRAŽENOVIÆ;MARIO IGIÆ;IVAN JAKOBOVIÆ;VELIMIR JELIÆ;DOMAGOJ CVITKOVIÆ;KRISTINA HELD;PETRA ŠPANIÆ;MANUELA HRENEK MIRT;SLAVEN MATOŠEVIÆ;PAVAO JOSIÆ
005;V. IZBORNA JEDINICA;16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ILOK;001;ILOK;GRADSKO POGLAVARSTVO ILOK;TRG N.ILOÈKOG 13;1047;496;496;482;14;4;1;0;0;1;0;0;0;1;0;0;1;0;0;0;115;87;1;0;1;1;0;0;0;0;1;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;1;11;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;12;2;0;0;0;0;0;0;0;0;0;0;0;0;0;58;31;10;0;0;0;0;0;0;0;0;0;0;0;0;189;64;8;0;3;4;2;0;1;7;0;10;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;1;0;0;0;0;0;0;0;0;0;0;65;21;2;0;0;0;0;3;7;0;0;0;0;0;7;12;3;0;0;0;0;0;0;0;1;0;0;1;0;0
005;V. IZBORNA JEDINICA;16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ILOK;002;ILOK;DOM UMIROVLJENIKA ILOK;KOŠEVI BR. 7;981;470;470;460;10;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99;74;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;63;32;4;0;0;1;0;0;0;0;0;0;0;0;1;235;79;6;0;0;11;0;0;0;4;0;13;0;0;24;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;40;15;1;0;2;0;0;1;4;2;0;0;0;0;4;7;0;3;0;0;0;0;0;0;0;0;0;0;0;0
005;V. IZBORNA JEDINICA;16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ILOK;003;ILOK;"UPRAVNA ZGRADA ""AGRO ILOKA""";TRG ŽRTAVA DOMOVINSKOG RATA 1/1;1059;408;408;401;7;4;1;0;0;0;0;0;1;0;1;0;0;0;0;0;72;52;1;0;0;0;0;0;0;1;0;0;0;0;0;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53;26;1;0;0;0;0;0;0;0;1;0;0;0;0;187;74;7;3;4;6;3;0;1;4;0;16;1;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57;23;1;1;1;0;0;0;2;1;0;0;0;0;7;12;1;0;0;1;0;0;0;0;0;0;0;0;0;0
005;V. IZBORNA JEDINICA;16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ILOK;004;ILOK;SLOVAÈKI DOM ILOK;I.G.KOVAÈIÆA 85;579;158;158;152;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;17;1;0;0;0;0;1;0;0;0;0;0;0;0;51;17;1;0;0;0;1;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;8;1;0;0;1;0;2;0;1;0;0;1;0;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
005;V. IZBORNA JEDINICA;16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ILOK;005;BAPSKA;OSNOVNA ŠKOLA BAPSKA;STJEPANA RADIÆA 11;750;399;399;388;11;6;1;0;0;0;0;0;0;4;0;0;0;0;0;0;26;20;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;132;32;75;2;0;0;0;0;0;0;0;0;0;0;1;200;70;2;2;1;7;1;0;2;3;1;14;1;0;27;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;4;0;1;0;0;0;0;0;2;0;0;0;0;2;8;4;0;0;0;0;0;0;0;0;0;0;0;1;0
005;V. IZBORNA JEDINICA;16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ILOK;006;ŠARENGRAD;STARA ŠKOLA ŠARENGRAD;VUKOVARSKA BB;417;200;200;198;2;3;0;0;0;0;3;0;0;0;0;0;0;0;0;0;16;14;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;18;2;0;0;0;0;0;0;0;0;0;0;0;1;127;26;3;0;0;37;0;0;0;0;1;2;1;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;4;0;0;0;1;0;2;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;1;0;0;0;2
005;V. IZBORNA JEDINICA;16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ILOK;007;MOHOVO;OSNOVNA ŠKOLA MOHOVO;HRVATSKIH DRAGOVOLJACA 15;174;78;78;77;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;11;1;0;0;0;0;0;0;0;1;0;0;0;0;51;12;0;0;0;1;0;0;1;0;0;13;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;3;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
005;V. IZBORNA JEDINICA;11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;001;VATROGASNI DOM;KUTJEVO;REPUBLIKE HRVATSKE 86;575;240;240;238;2;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;20;0;0;16;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53;9;0;1;0;2;0;0;1;18;0;0;1;0;0;95;24;0;9;0;0;1;13;0;0;1;0;1;0;2;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;52;15;0;1;0;4;0;0;3;0;0;0;0;0;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0
005;V. IZBORNA JEDINICA;11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;002;GRADSKA VIJEÆNICA;KUTJEVO;TRG GRAŠEVINE 1;418;195;195;188;7;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;35;2;1;25;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;1;0;0;0;0;0;0;0;0;0;38;5;1;0;0;2;0;0;0;17;1;0;0;0;0;74;28;1;6;0;0;0;13;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;10;0;0;0;0;0;0;0;0;0;0;1;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
005;V. IZBORNA JEDINICA;11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;KUTJEVO;003;"ŠRC ""KUTJEVO"" - ŠAHOVSKA DVORANA";KUTJEVO;BANA JOSIPA JELAÈIÆA 2A;461;181;181;180;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;0;26;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;12;0;0;0;0;0;1;0;15;0;0;0;0;0;88;32;0;9;0;0;1;13;2;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;8;0;2;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
