Rbr IJ;Naziv izborne jedinice;Rbr.županije;Županija;Oznaka Gr/Op/Dr;Grad/opæina/država;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;AUTOHTONA - HRVATSKA STRANKA PRAVA - A - HSP;NENO DOŽDOR;DAVOR MAJIÆ;MIRJANA KULIŠIÆ;DARKO CVIJA;MARIJANA MARINOVIÆ;MIŠO VERAJA;MATEA ŠPOLJARIÆ;VITOMIR ŽULJ;LINA LABETIÆ;MARIO VELA;JASMINKA MAJIÆ;KRISTINA ZEC ŠKALIÆ;ŽELJKO GAVRIÆ;MILAN BEKAVAC;MOST NEZAVISNIH LISTA - MOST;BOŽO PETROV;ANTE KUJUNDŽIÆ;IVANA LJULJ;MARO KRISTIÆ;GLORIA MATULIN;JAKOSLAV ROJNICA;FRANE PLEIÆ;NADA JELIÈIÆ;IVICA DAJAK;JULIJA ZUPÈIÆ;MARTINA OSTOJIÆ;IVAN MATAGA;MATEA VUÈKOVIÆ;IVICA KUKAVICA;MOŽEMO! - POLITIÈKA PLATFORMA, NOVA LJEVICA - NL, RADNIÈKA FRONTA - RF, ODRŽIVI RAZVOJ HRVATSKE - ORAH, ZAGREB JE NAŠ!, ZA GRAD;TAMARA VISKOVIÆ;ÐURO CAPOR;IGRA ŠAIN KOVAÈEVIÆ;KARLO PILKO;ANA DANA BEROŠ;IGOR MIOŠIÆ;PETRA MARÈINKO;MARKO PROKOPIÆ;SVJETLANA JELAVIÆ DEAN;NIKOLA ÐAPIÆ;MARIJA VUJOŠEVIÆ CARIÆ;IGOR LEGAZ;TAMARA GOVORKO;DRAGAN MARKOVINA;NEOVISNI ZA HRVATSKU - NHR, HRVATSKA STRANKA PRAVA - HSP, GENERACIJA OBNOVE - GO;BRUNA ESIH;MARTIN MLADEN PAUK;GORDANA BOŽIKOVIÆ;IVA MAJÈICA;MARKO TOMAŠIÆ;DINO LJUBIÆ;MARIN KELEZ;JOSIP KUSIÆ;ANTE KUŠETA;TANJA ÆUBELIÆ;PAVAO BILOBRK;SMILJANA MARTINOVIÆ;SEBASTIAN SAMARŽIJA;MARIO GALOV;STRANKA S IMENOM I PREZIMENOM, PAMETNO, FOKUS;MARIJANA PULJAK;ANÐELKA TOMIÆ;IVAN BARIŠIÆ;NATALIA TAFRA BAZINA;ŽELJKO DOMAZET;KRISTIJAN KASALO;SABRINA PEJIÆ;VEDRANA MAJSTROVIÆ;JAKOV PRKIÆ;GORANA ROSANDIÆ;IGOR SKOKO;LUCIJA PULJAK;NIKŠA MARINOVIÆ;ANTE PRANIÆ;BLOK UMIROVLJENICI ZAJEDNO - BUZ;ANTE JUKIÆ;MARIJA NIKOLIÆ-MALORA;IVAN BILOPAVLOVIÆ;NINA BILANDŽIÆ;MARIJA MATUSINOVIÆ;DAMJAN ŠIMIÆ;JASMINKA BUBIÆ;VJERA MORNAR;MELITA PALADA;IVAN VUKO;DIJANA VIŠIÆ-VULJAN;MARKO KOVAÈEVIÆ;MARTINA MARIJANÈIÆ;FRANKO BARÈOT;DEMOKRATI, HRVATSKI LABURISTI - STRANKA RADA;SLAVKO VLADUŠIÆ;IVO SELAK;MIRA MOROVIÆ;NIKOLA BUZOLIÆ;ALEKSANDAR ZELIÆ;VIVIJANA BLAŽEVIÆ;VIŠNJA VLADUŠIÆ;NIJAZ NESLANOVIÆ;ZDRAVKO MALKIÆ;KATARINA MEŠNJAK;SINIŠA MARINKOVIÆ;VALENTINA DUJANIÆ;MARIJA MALKIÆ;ZORAN BIJELIÆ;DOMOVINSKI POKRET MIROSLAVA ŠKORE - DOMOVINSKI POKRET, HRVATSKI SUVERENISTI, BLOK ZA HRVATSKU - BLOK, HRVATSKA KONZERVATIVNA STRANKA - HKS, HRAST - POKRET ZA USPJEŠNU HRVATSKU, STRANKA UMIROVLJENIKA - SU, ZELENA LISTA;RUŽA TOMAŠIÆ;ROBERT PAULETIÆ;NIKOLA GRABOVAC;MARKO SLIŠKOVIÆ;SILVANA BURILOVIÆ CRNOV;TUGA TARLE;MARKO MILANOVIÆ LITRE;ANTE RAOS;IVANA MARIÆ;DINKO DAMJANIÆ;MATEO HAIÈMAN;MARIJA KATAVIÆ;JELENA VUKA;JOZO RIBIÈIÆ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA DEMOKRŠÆANSKA STRANKA - HDS;VILI BEROŠ;BRANKO BAÈIÆ;BLAŽENKO BOBAN;ANDRO KRSTULOVIÆ OPARA;MATO FRANKOVIÆ;ANTE MIHANOVIÆ;GORAN DODIG;IVAN BUDALIÆ;MARIJA VUÈKOVIÆ;PETAR ŠKORIÆ;JURE BRKAN;DANICA BARIÈEVIÆ;ANTE BAÈIÆ;NIKOLA DOBROSLAVIÆ;HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS;VALENTIN DUJMOVIÆ;TOMISLAV ANDRIJOLIÆ;TONÈI BOŽANIÆ;VEDRAN KUNICA;SRÐAN GJURKOVIÆ;MIRNA KOVAÈIÆ;MARINA VUÈKOVIÆ MATIÆ;MIHO OBRADOVIÆ;DAJANA KRESIÆ;VEDRANA JOVIÆ PULJIZ;IVANA PRIŽMIÆ;RUŽA KOVAÈEVIÆ BILIÆ;SAŠA DUJMIÆ;KLEMENT BAŠIÆ;HRVATSKA STRANKA BUDUÆNOSTI - HSB;DANIJELA ZEKIÆ;TEODORA ÈOVIÆ;MATUŠA BAKOVIÆ;IVANA KAURLOTO;ANÐELA BUŠIÆ;IVANA DUMANÈIÆ;KATJA BORZIÆ;MARICA APUÈIÆ;MARIJA MAGUŠIÆ;LJILJANA MATULOVIÆ;KORNELIJA PODGORAC;EMINA POLJIÈAK;GORDANA ŠPRAJC;IVICA ANÈIÆ;NARODNA STRANKA - REFORMISTI - REFORMISTI, HRVATSKA SELJAÈKA STRANKA BRAÆE RADIÆ - HSS BRAÆE RADIÆ, STRANKA HRVATSKIH UMIROVLJENIKA - UMIROVLJENICI - UMIROVLJENICI;DARKO MARINOVIÆ;MAJA DVORNIK;LEO PENOVIÆ;IVO VIDAK;MAGDA MARASOVIÆ;MAJA MARINIÆ-KRAGIÆ;BORIS PAIÆ;JOŠKO DVORNIK;EDDI TRLAJA;SNEŽANA PENOVIÆ;NENAD MANDIÆ;MARKO MARJANÈIÆ;MIRJANA PINTARIÆ;ŽELJKA PONGRAÈIÆ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA SELJAÈKA STRANKA - HSS, HRVATSKA STRANKA UMIROVLJENIKA - HSU, SNAGA - STRANKA NARODNOG I GRAÐANSKOG AKTIVIZMA - SNAGA, GRAÐANSKO-LIBERALNI SAVEZ - GLAS, ISTARSKI DEMOKRATSKI SABOR - IDS, PRIMORSKO GORANSKI SAVEZ - PGS;ARSEN BAUK;KATICA GLAMUZINA;BRANKO GRÈIÆ;IVANA MARKOVIÆ;KUZMA TOMAŠIÆ;TEO JELIÈIÆ;PERO MEMED;KATARINA GUGIÆ;KREŠIMIR KURAN;GORDANA MUHTIÆ;GORAN KOTUR;SANJA ÆURIN;JADRAN BARAÈ;ELEONORA MANDIÆ;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP;MARIO VUJEVIÆ;ANA LUNIÆ;RIZABETA REBRONJA;ŠIME GULIN;LJILJANA GALIÆ;DRAGICA ŽITKO;DRAGO MINDOLJEVIÆ;MARIJANA BEDALOV;JADRANKA JOVANOVIÆ;RATKO ROŽIÆ;JUSTINA KORDIŠ;HABIBA KUÈANIN;BORIS BOGDANIÆ;IVAN GRBEC;ŽELJKO KERUM - HRVATSKA GRAÐANSKA STRANKA;ŽELJKO KERUM;MLADEN GRDOVIÆ;IGOR STANIŠIÆ;SAŠA HORVAT;SAŠA FRANJKIÆ;DAVOR GRÈIÆ;ANTE OBAD;JURE BUÈEVIÆ;MIRANDA IVANIŠEVIÆ DVORNIK;LIDIJA BEKAVAC;IVANA SERDAREVIÆ;DIJANA LIVAJA;NATALIJA REŽIÆ;NEVENKA BEÈIÆ;ŽIVI ZID, PROMIJENIMO HRVATSKU - PH, HRVATSKA SELJAÈKA STRANKA - STJEPAN RADIÆ - HSS - SR, STRANKA IVANA PERNARA - SIP, HRVATSKA STRANKA SVIH ÈAKAVACA KAJKAVACA I ŠTOKAVACA - HSSÈKŠ, ZAGORSKA STRANKA ZA ZAGREB - ZSZ, NEZAVISNA LISTA STIPE PETRINA - NLSP;IVAN ŠIMIÆ;TONKA SKRAÈIÆ;SANJICA VLAŠIÆ;DUBRAVKA RELJA;HRVOJE KUKULJICA;ZORAN JURLIN;FILIP SENTA;GORDANA MAJOR;MARINA NJIRIÆ;MATE PLAZIBAT;KATARINA FISTONIÆ;LANA ŠEGETIN;ANTE LEDENKO;DENIS ŠEŠELJ
010;X. IZBORNA JEDINICA;;inozemstvo;država;ALBANIJA;001;Biraèko mjesto broj 1 - TIRANA;VELEPOSLANSTVO REPUBLIKE HRVATSKE U REPUBLICI ALBANIJI;RRUGA GJENERAL NIKOLS, KATI 7, SHTËPIA E BARDHË, TIRANË, ALBANIJA;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
010;X. IZBORNA JEDINICA;;inozemstvo;država;ARGENTINA;001;Biraèko mjesto broj 1 - BUENOS AIRES;VELEPOSLANSTVO REPUBLIKE HRVATSKE U ARGENTINSKOJ REPUBLICI;GOROSTIAGA 2104, 1426 BUENOS AIRES, ARGENTINA;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
010;X. IZBORNA JEDINICA;;inozemstvo;država;AUSTRALIJA;001;Biraèko mjesto broj 1 - CANBERRA;VELEPOSLANSTVO REPUBLIKE HRVATSKE U AUSTRALIJI;14 JINDALEE CRESCENT, O'MALLEY ACT 2606, CANBERRA, AUSTRALIJA;10;10;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
010;X. IZBORNA JEDINICA;;inozemstvo;država;AUSTRALIJA;002;Biraèko mjesto broj 2 - MELBOURNE;GENERALNI KONZULAT REPUBLIKE HRVATSKE U AUSTRALIJI, MELBOURNE;9/24 ALBERT ROAD, SOUTH MELBOURNE 3205, VICTORIA, AUSTRALIJA;28;28;28;28;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;9;4;1;0;0;0;0;0;0;0;0;0;0;0;8;2;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
010;X. IZBORNA JEDINICA;;inozemstvo;država;AUSTRALIJA;003;Biraèko mjesto broj 3 - SYDNEY;GENERALNI KONZULAT REPUBLIKE HRVATSKE U AUSTRALIJI, SYDNEY;4/379 KENT STREET, P.O. BOX Q104 SYDNEY, NSW 1230, AUSTRALIJA;26;26;26;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;8;2;0;0;0;1;0;0;0;0;0;0;0;0;10;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
010;X. IZBORNA JEDINICA;;inozemstvo;država;AUSTRALIJA;004;Biraèko mjesto broj 4 - PERTH;KONZULAT REPUBLIKE HRVATSKE U AUSTRALIJI, PERTH;9/68 ST GEORGES TCE, PERTH WA 6831, AUSTRALIJA;16;16;16;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;6;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
010;X. IZBORNA JEDINICA;;inozemstvo;država;AUSTRIJA;001;Biraèko mjesto broj 1 - BEÈ;VELEPOSLANSTVO REPUBLIKE HRVATSKE U REPUBLICI AUSTRIJI;OPERNGASSE 20B, 1040 WIEN, AUSTRIJA;19;19;19;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;3;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;2;0;0;0;0;0;0;0;0;0;0;9;3;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
010;X. IZBORNA JEDINICA;;inozemstvo;država;AUSTRIJA;002;Biraèko mjesto broj 2 - BEÈ;VELEPOSLANSTVO REPUBLIKE HRVATSKE U REPUBLICI AUSTRIJI;OPERNGASSE 20B, 1040 WIEN, AUSTRIJA;17;17;17;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2;0;2;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
010;X. IZBORNA JEDINICA;;inozemstvo;država;BELGIJA;001;Biraèko mjesto broj 1 - BRUXELLES;VELEPOSLANSTVO REPUBLIKE HRVATSKE U KRALJEVINI BELGIJI;AVENUE LOUISE 425, 1050 BRUXELLES, BELGIJA;35;35;35;34;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;13;7;1;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
010;X. IZBORNA JEDINICA;;inozemstvo;država;BOSNA I HERCEGOVINA;001;Biraèko mjesto broj 1 - SARAJEVO;VELEPOSLANSTVO REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI;SREDNJA EKONOMSKA ŠKOLA, UL. ZMAJA OD BOSNE 39, SARAJEVO, BOSNA I HERCEGOVINA;28;28;28;27;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;4;1;0;0;0;0;0;0;0;0;0;0;0;0;14;4;2;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
