Rbr IJ;Naziv izborne jedinice;Rbr.županije;Županija;Oznaka Gr/Op/Dr;Grad/opæina/država;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;AUTOHTONA - HRVATSKA STRANKA PRAVA - A - HSP;ÐURO MARKUŠ;STJEPAN PRAVICA;KREŠIMIR ŠIKIÆ;JADRANKA BRKANIÆ;IVAN LUPINSKI;VIŠNJA VUKOVIÆ;MOST NEZAVISNIH LISTA - MOST;SLAVEN RAGUŽ;VESNA ŠUNJIÆ;TVRTKO MILOVIÆ;IVANA ÆUBELA;MIRKO VASILJ;DANIJELA PRCE;DANIEL REZO;KRISTINA MANDIÆ;TOMISLAV BANDIÆ;DRAGANA DŽALTO;DALIBOR RAVIÆ;MONIKA ZOVKO;IVICA BREŠIÆ;SLAVEN BEVANDA;MOŽEMO! - POLITIÈKA PLATFORMA, NOVA LJEVICA - NL, RADNIÈKA FRONTA - RF, ODRŽIVI RAZVOJ HRVATSKE - ORAH, ZAGREB JE NAŠ!, ZA GRAD;MARIO KOVAÈ;DIANA BEKAVAC;JORGE RICARDO LUQUE PERDOMO;TEA ŠKOKIÆ;MIROSLAV PETROVIÆ;NAIMA BALIÆ;NIKOLA MEDIÆ;IVA KVAKIÆ;MILAN BOŽIÆ;VEDRANA KLEPICA;NEOVISNI ZA HRVATSKU - NHR, HRVATSKA STRANKA PRAVA - HSP, GENERACIJA OBNOVE - GO;NIKICA AUGUSTINOVIÆ;ALAN ŠAVAR;MARICA MARIÆ;ROMEO PAVLIÆ;RANKO TOPIÆ;TIN PETERNEL;STANKO DRAGIÈEVIÆ;STRANKA S IMENOM I PREZIMENOM, PAMETNO, FOKUS;GEORGIUS JOSIP FOGLAR;MARIJANA MIŠURAC;PAVLE BUBALO;IVANA ŽAJA;HRVOJE VRANKO;FRANKO BAKOVIÆ;MARIJANA PEZELJ;DEMOKRATI, HRVATSKI LABURISTI - STRANKA RADA, LISTA ZA RIJEKU, ZELENI SAVEZ - ZELENI;AUGUST STANKIÆ;KRISTINA KINDA;ZORAN POPOVIÆ;HENRIET BILANDŽIÆ;BISERKA GOLUB;ANDREA PONISCH;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;ZDRAVKA BUŠIÆ;NEVENKO BARBARIÆ;RADOJE VIDOVIÆ;STANA BURIÆ;IVICA MIŠIÆ;JOSIP GELO;DANIJEL NIKOLIÆ;VINKO SABLJO;JOSO MARKOVIÆ;IVAN KARLO STIPIÆ;ANITA PAURIÆ;ANA ANDRIÆ;JULIJA JAKEŠEVIÆ;IVAN BAÆAK;MOJA VOLJENA HRVATSKA - MVH;RUŽA STUDER;IVO PETROVIÆ;JOSIP TIHOMIR HRGETIÆ SEKULIÆ;HUGO EMANUEL ESTIGARRIBIA VILLASANTI;MARIJA TAFRA;TEREZIJA TURKALJ;IVANA PAVLETIÆ;ZDENKO MIGUEL TEPLY BATAGELJ;NARODNA STRANKA - REFORMISTI - REFORMISTI, HRVATSKA SELJAÈKA STRANKA BRAÆE RADIÆ - HSS BRAÆE RADIÆ, STRANKA HRVATSKIH UMIROVLJENIKA - UMIROVLJENICI - UMIROVLJENICI;KREŠIMIR HORVAT;VESNA VIDOVIÆ-OREŠKI;STJEPAN MAÈEK;VERICA VITKOVIÆ;NIKOLA VIDONI;MAJA VUGLOVEÈKI;NEOVISNA LISTA -  ŽELJKO GLASNOVIÆ;ŽELJKO GLASNOVIÆ;MATE KNEZOVIÆ;INA VUKIÆ;TOMISLAV SUNIÆ;MARKO JURIÆ;SREÆKO TELAR;ELIZABETA MAÐAREVIÆ;MARKO PERKOVIÆ;KREŠIMIR TABAK;MILENA MATIÆ;MIRNA SUNIÆ-ŽAKMAN;MARTINA ÆURIÆ;FRANJO MIROSLAV PERKOVIÆ;MARINA SABLJIÆ;ŽIVI ZID, STRANKA IVANA PERNARA - SIP, PROMIJENIMO HRVATSKU - PH, HRVATSKA SELJAÈKA STRANKA - STJEPAN RADIÆ - HSS - SR;VESNA BALENOVIÆ;MARIJA GAŠPAR;IGOR MURKOVIÆ;TIHOMIR BLAŽEVIÆ;VALENTINA PERNAR;KATICA THORESEN;RATKO PIŠKOR;ANTUN STARÉ;JADRANKA MULC;SAŠA MELKUS;SANJA TROTIÆ;MARIO POPEC;ANTE LALIÆ;PATRIK BUZA
011;XI. IZBORNA JEDINICA;;inozemstvo;država;ALBANIJA;001;Biraèko mjesto broj 1 - TIRANA;VELEPOSLANSTVO REPUBLIKE HRVATSKE U REPUBLICI ALBANIJI;RRUGA GJENERAL NIKOLS, KATI 7, SHTËPIA E BARDHË, TIRANË, ALBANIJA;4;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
011;XI. IZBORNA JEDINICA;;inozemstvo;država;ARGENTINA;001;Biraèko mjesto broj 1 - BUENOS AIRES;VELEPOSLANSTVO REPUBLIKE HRVATSKE U ARGENTINSKOJ REPUBLICI;GOROSTIAGA 2104, 1426 BUENOS AIRES, ARGENTINA;37;37;37;37;0;0;0;0;0;0;0;0;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;11;4;0;0;0;0;0;0;0;0;0;1;0;0;0;3;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;16;9;0;2;0;3;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
011;XI. IZBORNA JEDINICA;;inozemstvo;država;AUSTRALIJA;001;Biraèko mjesto broj 1 - CANBERRA;VELEPOSLANSTVO REPUBLIKE HRVATSKE U AUSTRALIJI;14 JINDALEE CRESCENT, O'MALLEY ACT 2606, CANBERRA, AUSTRALIJA;112;112;112;111;1;0;0;0;0;0;0;0;7;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;10;1;0;0;1;0;2;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;56;30;0;5;4;5;0;0;3;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0
011;XI. IZBORNA JEDINICA;;inozemstvo;država;AUSTRALIJA;002;Biraèko mjesto broj 2 - MELBOURNE;GENERALNI KONZULAT REPUBLIKE HRVATSKE U AUSTRALIJI, MELBOURNE;9/24 ALBERT ROAD, SOUTH MELBOURNE 3205, VICTORIA, AUSTRALIJA;242;242;242;240;2;1;0;0;0;1;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;76;37;0;0;0;0;4;2;0;3;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;152;109;0;9;5;11;0;1;1;0;0;0;0;0;0;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0
011;XI. IZBORNA JEDINICA;;inozemstvo;država;AUSTRALIJA;003;Biraèko mjesto broj 3 - SYDNEY;GENERALNI KONZULAT REPUBLIKE HRVATSKE U AUSTRALIJI, SYDNEY;4/379 KENT STREET, P.O. BOX Q104 SYDNEY, NSW 1230, AUSTRALIJA;359;359;359;354;5;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;1;0;0;0;0;0;59;21;1;0;0;0;2;1;0;1;0;0;0;0;0;3;2;0;0;0;0;0;0;0;3;0;0;0;0;0;0;273;159;2;18;7;20;2;1;0;0;0;0;0;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
011;XI. IZBORNA JEDINICA;;inozemstvo;država;AUSTRALIJA;004;Biraèko mjesto broj 4 - PERTH;KONZULAT REPUBLIKE HRVATSKE U AUSTRALIJI, PERTH;9/68 ST GEORGES TCE, PERTH WA 6831, AUSTRALIJA;58;58;58;57;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;7;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;33;20;0;1;1;8;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
011;XI. IZBORNA JEDINICA;;inozemstvo;država;AUSTRIJA;001;Biraèko mjesto broj 1 - BEÈ;VELEPOSLANSTVO REPUBLIKE HRVATSKE U REPUBLICI AUSTRIJI;OPERNGASSE 20B, 1040 WIEN, AUSTRIJA;190;190;190;190;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;13;4;0;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;69;28;1;2;0;8;0;2;1;0;2;0;1;0;2;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;92;79;0;0;2;3;0;0;2;0;0;0;3;0;0;4;0;0;0;0;4;0;0;0;0;0;0;0;0;0
011;XI. IZBORNA JEDINICA;;inozemstvo;država;AUSTRIJA;002;Biraèko mjesto broj 2 - BEÈ;VELEPOSLANSTVO REPUBLIKE HRVATSKE U REPUBLICI AUSTRIJI;OPERNGASSE 20B, 1040 WIEN, AUSTRIJA;205;205;205;205;0;0;0;0;0;0;0;0;11;1;1;1;0;0;0;2;0;0;0;0;0;0;1;9;2;1;1;0;0;0;0;0;0;0;2;1;0;0;0;0;1;0;8;1;1;1;0;0;0;1;3;0;0;0;0;0;0;80;28;1;4;0;1;1;0;2;1;0;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;89;70;0;1;4;7;0;0;1;1;0;0;0;0;0;3;1;0;0;0;1;0;0;0;0;0;0;0;0;0
011;XI. IZBORNA JEDINICA;;inozemstvo;država;BELGIJA;001;Biraèko mjesto broj 1 - BRUXELLES;VELEPOSLANSTVO REPUBLIKE HRVATSKE U KRALJEVINI BELGIJI;AVENUE LOUISE 425, 1050 BRUXELLES, BELGIJA;31;31;31;31;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;4;0;0;0;0;0;0;8;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
011;XI. IZBORNA JEDINICA;;inozemstvo;država;BOSNA I HERCEGOVINA;002;Biraèko mjesto broj 2 - SARAJEVO;VELEPOSLANSTVO REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI;SREDNJA EKONOMSKA ŠKOLA, UL. ZMAJA OD BOSNE 39, SARAJEVO, BOSNA I HERCEGOVINA;316;316;316;313;3;2;0;0;0;1;0;0;25;7;1;9;0;0;0;0;0;0;0;0;0;0;0;14;5;0;2;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;2;1;0;0;0;0;0;234;19;24;123;0;3;2;9;1;0;0;1;1;2;5;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;26;17;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
