Rbr IJ;Naziv izborne jedinice;Rbr.županije;Županija;Oznaka Gr/Op/Dr;Grad/opæina/država;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;FURIO RADIN
012;XII. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;BAKAR;001;BAKAR;"PROSTORIJE DOMA KULTURE ""MATIJA MAŽIÆ""";PALADA BB;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;BAKAR;002;KRASICA;PROSTORIJE MJESNOG ODBORA KRASICA;KRASICA 230A;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;BAKAR;003;ŠKRLJEVO;PROSTORIJE DOMA KULTURE ŠKRLJEVO;ŠKRLJEVO 191;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;BAKAR;004;KUKULJANOVO;PROSTORIJE DOMA KULTURE KUKULJANOVO;KUKULJANOVO 205B;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;BAKAR;005;HRELJIN;PROSTORIJE DOMA KULTURE HRELJIN;HRELJIN 119;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;BAKAR;006;HRELJIN;"PROSTORIJE NK ""NAPRIJED""";HRELJIN, MEJA GAJ BB;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;BAKAR;007;ZLOBIN;PROSTORIJE DOMA KULTURE ZLOBIN;ZLOBIN 157;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;BAKAR;008;PRAPUTNJAK;PROSTORIJE PODRUÈNE ŠKOLE PRAPUTNJAK;PRAPUTNJAK 101;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;BELI MANASTIR;001;BELI MANASTIR;UDRUGA PRIJATELJI SVETOG MARTINA;OSJEÈKA ULICA 49A;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;BELI MANASTIR;002;BELI MANASTIR;ZGRADA PREKRŠAJNOG SUDA;SV. MARTINA 3;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;BELI MANASTIR;003;BELI MANASTIR;"ZGRADA ""P+8"" (LJEPOTICA)";IMRE NAGYA 2D;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;BELI MANASTIR;004;BELI MANASTIR;CENTAR ZA KULTURU GRADA BELOG MANASTIRA;KRALJA TOMISLAVA 2;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;BELI MANASTIR;005;BELI MANASTIR;ZGRADA HKUD-A;KRALJA TOMISLAVA 11;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;BELI MANASTIR;006;BELI MANASTIR;ZGRADA HRVATSKE ELEKTROPRIVREDE;KRALJA ZVONIMIRA 69;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;BELI MANASTIR;007;BELI MANASTIR;"OSNOVNA ŠKOLA ""DR. FRANJO TUÐMAN""";SV. MARTINA 16;0;0;0;0;0;0
