date,ZZ,SKORO,GL,Pametno,SDP,HNS,HDZ,HSLS,Most,BM365
2016-10-01,5.98,,,1.82,31.57,3.08,35.99,,10.68,2.74
2016-10-02,5.96,,,1.8,31.46,3.09,35.98,,10.72,2.68
2016-10-03,5.95,,,1.79,31.35,3.09,35.96,,10.75,2.61
2016-10-04,5.94,,,1.77,31.24,3.09,35.95,,10.79,2.55
2016-10-05,5.93,,,1.76,31.13,3.09,35.93,,10.83,2.49
2016-10-06,5.92,,,1.75,31.02,3.09,35.91,,10.87,2.42
2016-10-07,5.9,,,1.78,30.92,3.09,35.93,,10.87,2.47
2016-10-08,5.88,,,1.81,30.83,3.09,35.94,,10.87,2.51
2016-10-09,5.87,,,1.84,30.73,3.09,35.96,,10.86,2.55
2016-10-10,5.85,,,1.87,30.64,3.09,35.97,,10.86,2.59
2016-10-11,5.83,,,1.9,30.54,3.09,35.99,,10.86,2.63
2016-10-12,5.81,,,1.93,30.44,3.09,36,,10.85,2.68
2016-10-13,5.79,,,1.96,30.35,3.09,36.02,,10.85,2.72
2016-10-14,5.78,,,1.99,30.25,3.09,36.03,,10.85,2.76
2016-10-15,5.76,,,2.02,30.16,3.08,36.05,,10.85,2.8
2016-10-16,5.74,,,2.06,30.06,3.08,36.06,,10.84,2.84
2016-10-17,5.72,,,2.09,29.97,3.08,36.08,,10.84,2.89
2016-10-18,5.7,,,2.12,29.87,3.08,36.09,,10.84,2.93
2016-10-19,5.69,,,2.15,29.78,3.08,36.11,,10.84,2.97
2016-10-20,5.67,,,2.18,29.68,3.08,36.12,,10.83,3.01
2016-10-21,5.65,,,2.21,29.59,3.08,36.13,,10.83,3.06
2016-10-22,5.63,,,2.24,29.49,3.08,36.15,,10.83,3.1
2016-10-23,5.61,,,2.27,29.4,3.08,36.16,,10.83,3.14
2016-10-24,5.6,,,2.3,29.3,3.08,36.18,,10.82,3.18
2016-10-25,5.58,,,2.34,29.21,3.07,36.19,,10.82,3.22
2016-10-26,5.57,,,2.33,29.16,3.07,36.19,,10.83,3.16
2016-10-27,5.57,,,2.33,29.1,3.07,36.18,,10.84,3.11
2016-10-28,5.56,,,2.33,29.05,3.07,36.18,,10.85,3.05
2016-10-29,5.56,,,2.33,29,3.07,36.17,,10.86,2.99
2016-10-30,5.55,,,2.33,28.95,3.07,36.16,,10.87,2.93
2016-10-31,5.55,,,2.33,28.9,3.06,36.16,,10.88,2.87
2016-11-01,5.54,,,2.33,28.84,3.06,36.15,,10.89,2.81
2016-11-02,5.53,,,2.32,28.79,3.06,36.15,,10.9,2.75
2016-11-03,5.53,,,2.32,28.74,3.06,36.14,,10.91,2.69
2016-11-04,5.52,,,2.32,28.69,3.06,36.14,,10.92,2.63
2016-11-05,5.52,,,2.32,28.63,3.06,36.13,,10.93,2.57
2016-11-06,5.51,,,2.32,28.58,3.05,36.12,,10.94,2.51
2016-11-07,5.56,,,2.33,28.53,3,36.13,,10.93,2.47
2016-11-08,5.61,,,2.33,28.48,2.95,36.13,,10.92,2.44
2016-11-09,5.65,,,2.34,28.42,2.9,36.13,,10.91,2.4
2016-11-10,5.7,,,2.35,28.37,2.85,36.13,,10.9,2.36
2016-11-11,5.75,,,2.35,28.31,2.79,36.13,,10.89,2.32
2016-11-12,5.79,,,2.36,28.26,2.74,36.13,,10.89,2.29
2016-11-13,5.84,,,2.37,28.21,2.69,36.14,,10.88,2.25
2016-11-14,5.88,,,2.37,28.15,2.64,36.14,,10.87,2.21
2016-11-15,5.93,,,2.38,28.1,2.59,36.14,,10.86,2.17
2016-11-16,5.98,,,2.39,28.05,2.53,36.14,,10.85,2.13
2016-11-17,6.02,,,2.39,27.99,2.48,36.14,,10.84,2.1
2016-11-18,6.07,,,2.4,27.94,2.43,36.14,,10.83,2.06
2016-11-19,6.12,,,2.41,27.89,2.38,36.15,,10.82,2.02
2016-11-20,6.16,,,2.42,27.83,2.33,36.15,,10.82,1.98
2016-11-21,6.21,,,2.42,27.78,2.27,36.15,,10.81,1.94
2016-11-22,6.26,,,2.43,27.73,2.22,36.15,,10.8,1.91
2016-11-23,6.3,,,2.44,27.67,2.17,36.15,,10.79,1.87
2016-11-24,6.35,,,2.44,27.62,2.12,36.15,,10.78,1.83
2016-11-25,6.4,,,2.45,27.57,2.07,36.16,,10.77,1.79
2016-11-26,6.36,,,2.42,27.55,2.16,36.16,,10.73,1.83
2016-11-27,6.33,,,2.4,27.53,2.25,36.16,,10.7,1.87
2016-11-28,6.29,,,2.37,27.51,2.34,36.16,,10.66,1.9
2016-11-29,6.25,,,2.35,27.49,2.43,36.16,,10.62,1.94
