date,KH,DPMS,Centar,SDP,HNS,Fokus,HDZ,Mozemo,Most,RF
2021-06-20,2.34,8.11,1.55,17.83,1.41,1.35,33.99,15.03,7.56,1.35
2021-06-21,2.25,8.13,1.53,17.85,1.4,1.37,33.96,15.11,7.54,1.34
2021-06-22,2.16,8.14,1.51,17.86,1.39,1.4,33.94,15.2,7.52,1.33
2021-06-23,2.07,8.16,1.5,17.88,1.38,1.43,33.92,15.29,7.51,1.32
2021-06-24,1.98,8.17,1.48,17.9,1.37,1.45,33.89,15.37,7.49,1.31
2021-06-25,1.89,8.18,1.47,17.92,1.36,1.48,33.87,15.46,7.48,1.3
2021-06-26,1.8,8.2,1.45,17.94,1.36,1.51,33.84,15.55,7.46,1.29
2021-06-27,1.71,8.21,1.44,17.96,1.35,1.53,33.82,15.63,7.45,1.28
2021-06-28,1.62,8.23,1.42,17.98,1.34,1.56,33.8,15.72,7.43,1.27
2021-06-29,1.53,8.24,1.41,18,1.33,1.59,33.77,15.81,7.42,1.26
2021-06-30,1.44,8.26,1.39,18.02,1.32,1.61,33.75,15.9,7.4,1.25
2021-07-01,1.35,8.27,1.38,18.03,1.31,1.64,33.73,15.98,7.39,1.24
2021-07-02,1.26,8.29,1.36,18.05,1.3,1.67,33.7,16.07,7.37,1.22
2021-07-03,1.17,8.3,1.35,18.07,1.29,1.69,33.68,16.16,7.36,1.21
2021-07-04,1.08,8.32,1.33,18.09,1.28,1.72,33.66,16.24,7.34,1.2
2021-07-05,0.99,8.33,1.32,18.11,1.28,1.75,33.63,16.33,7.33,1.19
2021-07-06,0.9,8.24,1.34,18.17,1.27,1.7,33.56,16.47,7.21,0.99
2021-07-07,0.81,8.15,1.36,18.23,1.26,1.66,33.49,16.61,7.09,0.79
2021-07-08,0.72,8.06,1.39,18.29,1.25,1.62,33.41,16.75,6.97,0.6
2021-07-09,0.81,8.04,1.41,18.21,1.23,1.63,33.4,16.76,7.04,0.61
2021-07-10,0.9,8.02,1.43,18.12,1.21,1.63,33.38,16.77,7.12,0.63
