date,IDS,centar,NSR,HSS,STRIP,HSLS,SIP,Fokus,NHR,HSU,Most,GL,Mozemo,HDSSB,RF,HNS,SDP,Glas,NLMK,ZZ,Restart,Pametno,START,BM365,SKORO,HDZ,HS
2014-01-06,,,,,,,,,,,,,,,,,35.69,,,,,,,2.91,,30.7,
2014-01-07,,,,,,,,,,,,,,,,,35.65,,,,,,,2.9,,30.68,
2014-01-08,,,,,,,,,,,,,,,,,35.61,,,,,,,2.89,,30.66,
2014-01-09,,,,,,,,,,,,,,,,,35.57,,,,,,,2.87,,30.64,
2014-01-10,,,,,,,,,,,,,,,,,35.53,,,,,,,2.86,,30.62,
2014-01-11,,,,,,,,,,,,,,,,,35.49,,,,,,,2.84,,30.6,
2014-01-12,,,,,,,,,,,,,,,,,35.44,,,,,,,2.83,,30.58,
2014-01-13,,,,,,,,,,,,,,,,,35.4,,,,,,,2.81,,30.55,
2014-01-14,,,,,,,,,,,,,,,,,35.36,,,,,,,2.8,,30.53,
2014-01-15,,,,,,,,,,,,,,,,,35.32,,,,,,,2.78,,30.51,
2014-01-16,,,,,,,,,,,,,,,,,35.28,,,,,,,2.77,,30.49,
2014-01-17,,,,,,,,,,,,,,,,,35.23,,,,,,,2.75,,30.47,
2014-01-18,,,,,,,,,,,,,,,,,35.19,,,,,,,2.74,,30.45,
2014-01-19,,,,,,,,,,,,,,,,,35.15,,,,,,,2.72,,30.43,
2014-01-20,,,,,,,,,,,,,,,,,35.11,,,,,,,2.71,,30.41,
2014-01-21,,,,,,,,,,,,,,,,,35.07,,,,,,,2.69,,30.39,
2014-01-22,,,,,,,,,,,,,,,,,35.02,,,,,,,2.68,,30.37,
2014-01-23,,,,,,,,,,,,,,,,,34.98,,,,,,,2.67,,30.35,
2014-01-24,,,,,,,,,,,,,,,,,34.94,,,,,,,2.65,,30.33,
2014-01-25,,,,,,,,,,,,,,,,,34.9,,,,,,,2.64,,30.31,
2014-01-26,,,,,,,,,,,,,,,,,34.86,,,,,,,2.62,,30.29,
2014-01-27,,,,,,,,,,,,,,,,,34.81,,,,,,,2.61,,30.27,
2014-01-28,,,,,,,,,,,,,,,,,34.77,,,,,,,2.59,,30.25,
2014-01-29,,,,,,,,,,,,,,,,,34.73,,,,,,,2.58,,30.23,
2014-01-30,,,,,,,,,,,,,,,,,34.69,,,,,,,2.56,,30.21,
2014-01-31,,,,,,,,,,,,,,,,,34.65,,,,,,,2.55,,30.19,
2014-02-01,,,,,,,,,,,,,,,,,34.6,,,,,,,2.53,,30.17,
2014-02-02,,,,,,,,,,,,,,,,,34.56,,,,,,,2.52,,30.15,
2014-02-03,,,,,,,,,,,,,,,,,34.52,,,,,,,2.5,,30.13,
2014-02-04,,,,,,,,,,,,,,,,,34.48,,,,,,,2.49,,30.11,
2014-02-05,,,,,,,,,,,,,,,,,34.44,,,,,,,2.47,,30.09,
2014-02-06,,,,,,,,,,,,,,,,,34.39,,,,,,,2.46,,30.06,
2014-02-07,,,,,,,,,,,,,,,,,34.35,,,,,,,2.44,,30.04,
2014-02-08,,,,,,,,,,,,,,,,,34.31,,,,,,,2.43,,30.02,
2014-02-09,,,,,,,,,,,,,,,,,34.22,,,,,,,2.47,,29.99,
2014-02-10,,,,,,,,,,,,,,,,,34.13,,,,,,,2.51,,29.95,
2014-02-11,,,,,,,,,,,,,,,,,34.05,,,,,,,2.55,,29.91,
2014-02-12,,,,,,,,,,,,,,,,,33.96,,,,,,,2.6,,29.87,
2014-02-13,,,,,,,,,,,,,,,,,33.87,,,,,,,2.64,,29.83,
2014-02-14,,,,,,,,,,,,,,,,,33.78,,,,,,,2.68,,29.79,
2014-02-15,,,,,,,,,,,,,,,,,33.69,,,,,,,2.72,,29.75,
2014-02-16,,,,,,,,,,,,,,,,,33.61,,,,,,,2.76,,29.71,
2014-02-17,,,,,,,,,,,,,,,,,33.52,,,,,,,2.8,,29.67,
2014-02-18,,,,,,,,,,,,,,,,,33.43,,,,,,,2.84,,29.64,
2014-02-19,,,,,,,,,,,,,,,,,33.34,,,,,,,2.89,,29.6,
2014-02-20,,,,,,,,,,,,,,,,,33.25,,,,,,,2.93,,29.56,
2014-02-21,,,,,,,,,,,,,,,,,33.17,,,,,,,2.97,,29.52,
2014-02-22,,,,,,,,,,,,,,,,,33.08,,,,,,,3.01,,29.48,
2014-02-23,,,,,,,,,,,,,,,,,32.99,,,,,,,3.05,,29.44,
2014-02-24,,,,,,,,,,,,,,,,,32.9,,,,,,,3.09,,29.4,
2014-02-25,,,,,,,,,,,,,,,,,32.81,,,,,,,3.13,,29.36,
2014-02-26,,,,,,,,,,,,,,,,,32.75,,,,,,,3.09,,29.32,
2014-02-27,,,,,,,,,,,,,,,,,32.69,,,,,,,3.04,,29.29,
2014-02-28,,,,,,,,,,,,,,,,,32.63,,,,,,,2.99,,29.25,
2014-03-01,,,,,,,,,,,,,,,,,32.56,,,,,,,2.95,,29.21,
2014-03-02,,,,,,,,,,,,,,,,,32.5,,,,,,,2.9,,29.17,
2014-03-03,,,,,,,,,,,,,,,,,32.44,,,,,,,2.85,,29.13,
2014-03-04,,,,,,,,,,,,,,,,,32.38,,,,,,,2.8,,29.09,
2014-03-05,,,,,,,,,,,,,,,,,32.32,,,,,,,2.76,,29.05,
2014-03-06,,,,,,,,,,,,,,,,,32.25,,,,,,,2.71,,29.01,
2014-03-07,,,,,,,,,,,,,,,,,32.16,,,,,,,2.75,,28.98,
2014-03-08,,,,,,,,,,,,,,,,,32.06,,,,,,,2.79,,28.95,
2014-03-09,,,,,,,,,,,,,,,,,31.96,,,,,,,2.82,,28.92,
2014-03-10,,,,,,,,,,,,,,,,,31.86,,,,,,,2.86,,28.89,
2014-03-11,,,,,,,,,,,,,,,,,31.76,,,,,,,2.9,,28.86,
2014-03-12,,,,,,,,,,,,,,,,,31.67,,,,,,,2.94,,28.82,
2014-03-13,,,,,,,,,,,,,,,,,31.57,,,,,,,2.97,,28.79,
2014-03-14,,,,,,,,,,,,,,,,,31.47,,,,,,,3.01,,28.76,
2014-03-15,,,,,,,,,,,,,,,,,31.37,,,,,,,3.05,,28.73,
2014-03-16,,,,,,,,,,,,,,,,,31.28,,,,,,,3.09,,28.7,
2014-03-17,,,,,,,,,,,,,,,,,31.18,,,,,,,3.12,,28.67,
2014-03-18,,,,,,,,,,,,,,,,,31.08,,,,,,,3.16,,28.64,
2014-03-19,,,,,,,,,,,,,,,,,30.98,,,,,,,3.2,,28.6,
2014-03-20,,,,,,,,,,,,,,,,,30.88,,,,,,,3.24,,28.57,
2014-03-21,,,,,,,,,,,,,,,,,30.79,,,,,,,3.28,,28.54,
2014-03-22,,,,,,,,,,,,,,,,,30.69,,,,,,,3.31,,28.51,
2014-03-23,,,,,,,,,,,,,,,,,30.59,,,,,,,3.35,,28.48,
2014-03-24,,,,,,,,,,,,,,,,,30.49,,,,,,,3.39,,28.45,
2014-03-25,,,,,,,,,,,,,,,,,30.4,,,,,,,3.43,,28.42,
2014-03-26,,,,,,,,,,,,,,,,,30.32,,,,,,,3.34,,28.41,
2014-03-27,,,,,,,,,,,,,,,,,30.24,,,,,,,3.24,,28.4,
2014-03-28,,,,,,,,,,,,,,,,,30.16,,,,,,,3.15,,28.4,
2014-03-29,,,,,,,,,,,,,,,,,30.08,,,,,,,3.06,,28.39,
2014-03-30,,,,,,,,,,,,,,,,,30,,,,,,,2.97,,28.38,
2014-03-31,,,,,,,,,,,,,,,,,29.92,,,,,,,2.88,,28.38,
2014-04-01,,,,,,,,,,,,,,,,,29.84,,,,,,,2.79,,28.37,
2014-04-02,,,,,,,,,,,,,,,,,29.76,,,,,,,2.7,,28.37,
2014-04-03,,,,,,,,,,,,,,,,,29.68,,,,,,,2.61,,28.36,
2014-04-04,,,,,,,,,,,,,,,,,29.61,,,,,,,2.52,,28.35,
2014-04-05,,,,,,,,,,,,,,,,,29.53,,,,,,,2.43,,28.35,
2014-04-06,,,,,,,,,,,,,,,,,29.43,,,,,,,2.49,,28.36,
2014-04-07,,,,,,,,,,,,,,,,,29.34,,,,,,,2.56,,28.37,
2014-04-08,,,,,,,,,,,,,,,,,29.25,,,,,,,2.62,,28.38,
2014-04-09,,,,,,,,,,,,,,,,,29.15,,,,,,,2.69,,28.4,
2014-04-10,,,,,,,,,,,,,,,,,29.06,,,,,,,2.75,,28.41,
2014-04-11,,,,,,,,,,,,,,,,,28.97,,,,,,,2.82,,28.42,
2014-04-12,,,,,,,,,,,,,,,,,28.88,,,,,,,2.89,,28.43,
2014-04-13,,,,,,,,,,,,,,,,,28.78,,,,,,,2.95,,28.45,
2014-04-14,,,,,,,,,,,,,,,,,28.69,,,,,,,3.02,,28.46,
2014-04-15,,,,,,,,,,,,,,,,,28.6,,,,,,,3.08,,28.47,
2014-04-16,,,,,,,,,,,,,,,,,28.5,,,,,,,3.15,,28.48,
2014-04-17,,,,,,,,,,,,,,,,,28.41,,,,,,,3.21,,28.5,
2014-04-18,,,,,,,,,,,,,,,,,28.32,,,,,,,3.28,,28.51,
2014-04-19,,,,,,,,,,,,,,,,,28.22,,,,,,,3.35,,28.52,
2014-04-20,,,,,,,,,,,,,,,,,28.13,,,,,,,3.41,,28.53,
2014-04-21,,,,,,,,,,,,,,,,,28.04,,,,,,,3.48,,28.55,
2014-04-22,,,,,,,,,,,,,,,,,27.95,,,,,,,3.54,,28.56,
2014-04-23,,,,,,,,,,,,,,,,,27.85,,,,,,,3.61,,28.57,
2014-04-24,,,,,,,,,,,,,,,,,27.76,,,,,,,3.67,,28.58,
2014-04-25,,,,,,,,,,,,,,,,,27.67,,,,,,,3.74,,28.6,
2014-04-26,,,,,,,,,,,,,,,,,27.58,,,,,,,3.73,,28.6,
2014-04-27,,,,,,,,,,,,,,,,,27.5,,,,,,,3.73,,28.61,
2014-04-28,,,,,,,,,,,,,,,,,27.41,,,,,,,3.72,,28.62,
2014-04-29,,,,,,,,,,,,,,,,,27.32,,,,,,,3.71,,28.63,
2014-04-30,,,,,,,,,,,,,,,,,27.24,,,,,,,3.7,,28.63,
2014-05-01,,,,,,,,,,,,,,,,,27.15,,,,,,,3.69,,28.64,
2014-05-02,,,,,,,,,,,,,,,,,27.07,,,,,,,3.69,,28.65,
2014-05-03,,,,,,,,,,,,,,,,,26.98,,,,,,,3.68,,28.66,
2014-05-04,,,,,,,,,,,,,,,,,26.9,,,,,,,3.67,,28.66,
2014-05-05,,,,,,,,,,,,,,,,,26.84,,,,,,,3.66,,28.72,
2014-05-06,,,,,,,,,,,,,,,,,26.79,,,,,,,3.66,,28.78,
2014-05-07,,,,,,,,,,,,,,,,,26.73,,,,,,,3.65,,28.84,
2014-05-08,,,,,,,,,,,,,,,,,26.67,,,,,,,3.64,,28.89,
2014-05-09,,,,,,,,,,,,,,,,,26.62,,,,,,,3.63,,28.95,
2014-05-10,,,,,,,,,,,,,,,,,26.56,,,,,,,3.62,,29.01,
2014-05-11,,,,,,,,,,,,,,,,,26.51,,,,,,,3.62,,29.06,
2014-05-12,,,,,,,,,,,,,,,,,26.45,,,,,,,3.61,,29.12,
2014-05-13,,,,,,,,,,,,,,,,,26.39,,,,,,,3.6,,29.18,
2014-05-14,,,,,,,,,,,,,,,,,26.34,,,,,,,3.59,,29.24,
2014-05-15,,,,,,,,,,,,,,,,,26.28,,,,,,,3.59,,29.29,
2014-05-16,,,,,,,,,,,,,,,,,26.23,,,,,,,3.58,,29.35,
2014-05-17,,,,,,,,,,,,,,,,,26.2,,,,,,,3.61,,29.39,
2014-05-18,,,,,,,,,,,,,,,,,26.17,,,,,,,3.64,,29.43,
2014-05-19,,,,,,,,,,,,,,,,,26.15,,,,,,,3.67,,29.46,
2014-05-20,,,,,,,,,,,,,,,,,26.12,,,,,,,3.69,,29.5,
2014-05-21,,,,,,,,,,,,,,,,,26.09,,,,,,,3.72,,29.54,
2014-05-22,,,,,,,,,,,,,,,,,26.06,,,,,,,3.75,,29.58,
2014-05-23,,,,,,,,,,,,,,,,,26.04,,,,,,,3.78,,29.62,
2014-05-24,,,,,,,,,,,,,,,,,26.01,,,,,,,3.81,,29.65,
2014-05-25,,,,,,,,,,,,,,,,,25.98,,,,,,,3.84,,29.69,
2014-05-26,,,,,,,,,,,,,,,,,25.95,,,,,,,3.87,,29.73,
2014-05-27,,,,,,,,,,,,,,,,,25.93,,,,,,,3.9,,29.77,
2014-05-28,,,,,,,,,,,,,,,,,25.9,,,,,,,3.93,,29.81,
2014-05-29,,,,,,,,,,,,,,,,,25.87,,,,,,,3.95,,29.84,
2014-05-30,,,,,,,,,,,,,,,,,25.85,,,,,,,3.98,,29.88,
2014-05-31,,,,,,,,,,,,,,,,,25.82,,,,,,,4.01,,29.92,
2014-06-01,,,,,,,,,,,,,,,,,25.79,,,,,,,4.04,,29.96,
2014-06-02,,,,,,,,,,,,,,,,,25.76,,,,,,,4.07,,29.99,
2014-06-03,,,,,,,,,,,,,,,,,25.74,,,,,,,4.1,,30.03,
2014-06-04,,,,,,,,,,,,,,,,,25.71,,,,,,,4.13,,30.07,
2014-06-05,,,,,,,,,,,,,,,,,25.68,,,,,,,4.16,,30.11,
2014-06-06,,,,,,,,,,,,,,,,,25.66,,,,,,,4.19,,30.15,
2014-06-07,,,,,,,,,,,,,,,,,25.63,,,,,,,4.21,,30.18,
2014-06-08,,,,,,,,,,,,,,,,,25.62,,,,,,,4.24,,30.26,
2014-06-09,,,,,,,,,,,,,,,,,25.62,,,,,,,4.27,,30.33,
2014-06-10,,,,,,,,,,,,,,,,,25.61,,,,,,,4.3,,30.41,
2014-06-11,,,,,,,,,,,,,,,,,25.6,,,,,,,4.33,,30.48,
2014-06-12,,,,,,,,,,,,,,,,,25.6,,,,,,,4.36,,30.56,
2014-06-13,,,,,,,,,,,,,,,,,25.59,,,,,,,4.39,,30.63,
2014-06-14,,,,,,,,,,,,,,,,,25.58,,,,,,,4.42,,30.71,
2014-06-15,,,,,,,,,,,,,,,,,25.58,,,,,,,4.45,,30.78,
2014-06-16,,,,,,,,,,,,,,,,,25.57,,,,,,,4.47,,30.86,
2014-06-17,,,,,,,,,,,,,,,,,25.56,,,,,,,4.5,,30.93,
2014-06-18,,,,,,,,,,,,,,,,,25.56,,,,,,,4.53,,31.01,
2014-06-19,,,,,,,,,,,,,,,,,25.55,,,,,,,4.56,,31.08,
2014-06-20,,,,,,,,,,,,,,,,,25.55,,,,,,,4.59,,31.16,
2014-06-21,,,,,,,,,,,,,,,,,25.54,,,,,,,4.62,,31.23,
2014-06-22,,,,,,,,,,,,,,,,,25.53,,,,,,,4.65,,31.3,
2014-06-23,,,,,,,,,,,,,,,,,25.53,,,,,,,4.68,,31.38,
2014-06-24,,,,,,,,,,,,,,,,,25.52,,,,,,,4.71,,31.45,
2014-06-25,,,,,,,,,,,,,,,,,25.51,,,,,,,4.73,,31.53,
2014-06-26,,,,,,,,,,,,,,,,,25.5,,,,,,,4.73,,31.53,
2014-06-27,,,,,,,,,,,,,,,,,25.48,,,,,,,4.72,,31.53,
2014-06-28,,,,,,,,,,,,,,,,,25.47,,,,,,,4.71,,31.53,
2014-06-29,,,,,,,,,,,,,,,,,25.45,,,,,,,4.7,,31.53,
2014-06-30,,,,,,,,,,,,,,,,,25.43,,,,,,,4.69,,31.53,
2014-07-01,,,,,,,,,,,,,,,,,25.42,,,,,,,4.69,,31.53,
2014-07-02,,,,,,,,,,,,,,,,,25.4,,,,,,,4.68,,31.53,
2014-07-03,,,,,,,,,,,,,,,,,25.39,,,,,,,4.67,,31.53,
2014-07-04,,,,,,,,,,,,,,,,,25.37,,,,,,,4.66,,31.53,
2014-07-05,,,,,,,,,,,,,,,,,25.4,,,,,,,4.66,,31.59,
2014-07-06,,,,,,,,,,,,,,,,,25.43,,,,,,,4.65,,31.65,
2014-07-07,,,,,,,,,,,,,,,,,25.45,,,,,,,4.64,,31.71,
2014-07-08,,,,,,,,,,,,,,,,,25.48,,,,,,,4.63,,31.77,
2014-07-09,,,,,,,,,,,,,,,,,25.51,,,,,,,4.62,,31.83,
2014-07-10,,,,,,,,,,,,,,,,,25.54,,,,,,,4.62,,31.89,
2014-07-11,,,,,,,,,,,,,,,,,25.56,,,,,,,4.61,,31.95,
2014-07-12,,,,,,,,,,,,,,,,,25.59,,,,,,,4.6,,32.01,
2014-07-13,,,,,,,,,,,,,,,,,25.62,,,,,,,4.59,,32.07,
2014-07-14,,,,,,,,,,,,,,,,,25.65,,,,,,,4.58,,32.13,
2014-07-15,,,,,,,,,,,,,,,,,25.67,,,,,,,4.58,,32.19,
2014-07-16,,,,,,,,,,,,,,,,,25.7,,,,,,,4.57,,32.25,
2014-07-17,,,,,,,,,,,,,,,,,25.73,,,,,,,4.56,,32.31,
2014-07-18,,,,,,,,,,,,,,,,,25.76,,,,,,,4.55,,32.37,
2014-07-19,,,,,,,,,,,,,,,,,25.78,,,,,,,4.54,,32.43,
2014-07-20,,,,,,,,,,,,,,,,,25.81,,,,,,,4.54,,32.49,
2014-07-21,,,,,,,,,,,,,,,,,25.84,,,,,,,4.53,,32.55,
2014-07-22,,,,,,,,,,,,,,,,,25.87,,,,,,,4.52,,32.61,
2014-07-23,,,,,,,,,,,,,,,,,25.89,,,,,,,4.51,,32.67,
2014-07-24,,,,,,,,,,,,,,,,,25.92,,,,,,,4.5,,32.73,
2014-07-25,,,,,,,,,,,,,,,,,25.95,,,,,,,4.44,,32.77,
2014-07-26,,,,,,,,,,,,,,,,,25.98,,,,,,,4.37,,32.81,
2014-07-27,,,,,,,,,,,,,,,,,26.01,,,,,,,4.3,,32.86,
2014-07-28,,,,,,,,,,,,,,,,,26.05,,,,,,,4.23,,32.9,
2014-07-29,,,,,,,,,,,,,,,,,26.08,,,,,,,4.16,,32.94,
2014-07-30,,,,,,,,,,,,,,,,,26.11,,,,,,,4.09,,32.99,
2014-07-31,,,,,,,,,,,,,,,,,26.14,,,,,,,4.02,,33.03,
2014-08-01,,,,,,,,,,,,,,,,,26.17,,,,,,,3.95,,33.07,
2014-08-02,,,,,,,,,,,,,,,,,26.2,,,,,,,3.88,,33.12,
2014-08-03,,,,,,,,,,,,,,,,,26.23,,,,,,,3.81,,33.16,
2014-08-04,,,,,,,,,,,,,,,,,26.26,,,,,,,3.74,,33.2,
2014-08-05,,,,,,,,,,,,,,,,,26.29,,,,,,,3.67,,33.24,
2014-08-06,,,,,,,,,,,,,,,,,26.27,,,,,,,3.71,,33.26,
2014-08-07,,,,,,,,,,,,,,,,,26.25,,,,,,,3.74,,33.28,
2014-08-08,,,,,,,,,,,,,,,,,26.24,,,,,,,3.78,,33.3,
2014-08-09,,,,,,,,,,,,,,,,,26.22,,,,,,,3.81,,33.32,
2014-08-10,,,,,,,,,,,,,,,,,26.2,,,,,,,3.85,,33.34,
2014-08-11,,,,,,,,,,,,,,,,,26.18,,,,,,,3.89,,33.36,
2014-08-12,,,,,,,,,,,,,,,,,26.16,,,,,,,3.92,,33.38,
2014-08-13,,,,,,,,,,,,,,,,,26.14,,,,,,,3.96,,33.4,
2014-08-14,,,,,,,,,,,,,,,,,26.12,,,,,,,3.99,,33.41,
2014-08-15,,,,,,,,,,,,,,,,,26.1,,,,,,,4.03,,33.43,
2014-08-16,,,,,,,,,,,,,,,,,26.08,,,,,,,4.06,,33.45,
2014-08-17,,,,,,,,,,,,,,,,,26.06,,,,,,,4.1,,33.47,
2014-08-18,,,,,,,,,,,,,,,,,26.05,,,,,,,4.13,,33.49,
2014-08-19,,,,,,,,,,,,,,,,,26.03,,,,,,,4.17,,33.51,
2014-08-20,,,,,,,,,,,,,,,,,26.01,,,,,,,4.2,,33.53,
2014-08-21,,,,,,,,,,,,,,,,,25.99,,,,,,,4.24,,33.55,
2014-08-22,,,,,,,,,,,,,,,,,25.97,,,,,,,4.27,,33.56,
2014-08-23,,,,,,,,,,,,,,,,,25.95,,,,,,,4.31,,33.58,
2014-08-24,,,,,,,,,,,,,,,,,25.93,,,,,,,4.35,,33.6,
2014-08-25,,,,,,,,,,,,,,,,,25.91,,,,,,,4.38,,33.62,
2014-08-26,,,,,,,,,,,,,,,,,25.92,,,,,,,4.27,,33.64,
2014-08-27,,,,,,,,,,,,,,,,,25.93,,,,,,,4.16,,33.66,
2014-08-28,,,,,,,,,,,,,,,,,25.94,,,,,,,4.04,,33.68,
2014-08-29,,,,,,,,,,,,,,,,,25.95,,,,,,,3.93,,33.69,
2014-08-30,,,,,,,,,,,,,,,,,25.96,,,,,,,3.82,,33.71,
2014-08-31,,,,,,,,,,,,,,,,,25.97,,,,,,,3.71,,33.73,
2014-09-01,,,,,,,,,,,,,,,,,25.98,,,,,,,3.59,,33.75,
2014-09-02,,,,,,,,,,,,,,,,,25.99,,,,,,,3.48,,33.77,
2014-09-03,,,,,,,,,,,,,,,,,26,,,,,,,3.37,,33.78,
2014-09-04,,,,,,,,,,,,,,,,,26.01,,,,,,,3.26,,33.8,
2014-09-05,,,,,,,,,,,,,,,,,26.02,,,,,,,3.14,,33.82,
2014-09-06,,,,,,,,,,,,,,,,,25.97,,,,,,,3.16,,33.81,
2014-09-07,,,,,,,,,,,,,,,,,25.92,,,,,,,3.18,,33.79,
2014-09-08,,,,,,,,,,,,,,,,,25.88,,,,,,,3.2,,33.78,
2014-09-09,,,,,,,,,,,,,,,,,25.83,,,,,,,3.22,,33.77,
2014-09-10,,,,,,,,,,,,,,,,,25.78,,,,,,,3.24,,33.76,
2014-09-11,,,,,,,,,,,,,,,,,25.74,,,,,,,3.26,,33.74,
2014-09-12,,,,,,,,,,,,,,,,,25.69,,,,,,,3.28,,33.73,
