HDZ,,SDP,,BM 365,,KH,,MOST,,IDS,,HSS,,HNS-LD,,Pametno,,Glas,,NHR,,START,,DPMŠ,,Green-Left,,HDSSB,,Centar,,Fokus,,Možemo!,,RF,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
2014/01/12,0.3242896576802923,2014/01/12,0.38988475016115975,2014/01/12,0.03309889419659828,2015/01/08,0.0925717780459181,2015/04/26,0.041759161308451365,2015/11/07,0.021677631035223688,2015/11/18,0.017793372617729175,2015/11/19,0.01447503264516764,2016/09/08,0.023323939238665048,2018/06/29,0.026067786244400704,2017/10/06,0.018693697416486188,2020/01/04,0.0120055703400056,2020/01/07,0.1306426552505,2020/05/13,0.03206995156944742,2020/05/11,0.012134188168399451,2020/11/08,0.04760698523942547,2021/06/07,0.020545794145357732,2020/07/08,0.09895122233425346,2015/07/09,0.3314922560703483
2014/02/10,0.31616101092580046,2014/02/10,0.3778975685548522,2014/02/10,0.0239413048149556,2015/01/26,0.13095133803864528,2015/05/08,0.03910105952164494,2015/11/22,0.020751582670787916,2015/12/02,0.02558761301839696,2015/12/02,0.03258442288302282,2016/10/03,0.01852220697862772,2018/07/15,0.010873733450139644,2018/01/05,0.018179226102910784,2020/01/19,0.013291748623944166,2020/01/13,0.18836633663366337,2020/05/27,0.03001206631514569,2020/06/24,0.0044171184647679995,2020/11/21,0.028365758111704276,2021/07/08,0.03340757698474356,2020/07/23,0.12868766425891331,2017/10/25,0.2676978131869948
2014/03/01,0.29887477478966595,2014/03/01,0.31904205028182286,2014/03/01,0.04359410899353705,2015/02/04,0.1014206846394155,2015/05/14,0.017356072001190048,2015/12/05,0.019722640043637052,2016/01/05,0.022192102348799092,2015/12/20,0.013548984280731868,2016/10/21,0.02733681548455341,2018/07/27,0.018385014628340912,2018/06/07,0.04452015735797288,2020/02/01,0.012520041653581004,2020/01/26,0.10882907155490174,2020/06/13,0.05470668936676637,,,2020/12/28,0.03711177044248659,2021/08/08,0.034333625349179275,2020/08/08,0.09905411659696856,2021/04/06,0.023323939238665048
2014/03/07,0.2913634936114647,2014/03/07,0.3500132233590638,2014/03/07,0.025073141704821555,2015/02/26,0.16747880130250087,2015/05/27,0.04381704656275309,2015/12/20,0.020751582670787916,2016/01/20,0.02178052529793878,2016/01/05,0.028365758111704276,2016/11/04,0.02486735317939137,2018/08/11,0.08855890180002973,2018/06/04,0.022809467925089644,2020/02/16,0.015606869535033596,2020/02/04,0.13475842575910346,2020/06/25,0.07281607960462155,,,2021/01/11,0.03592848642126312,2021/08/31,0.012520041653581004,2020/08/23,0.10399304120729264,2021/06/16,0.018693697416486188
2014/03/30,0.2765173214197165,2014/03/29,0.29887477478966595,2014/03/29,0.05388353526504569,2015/03/04,0.08886758458817501,2015/06/08,0.04561769616026712,2016/01/05,0.016224235111324148,2016/02/20,0.02188341956065387,2016/01/18,0.01882231524488004,2016/11/20,0.030783773285508853,2018/10/31,0.027954181060843963,2018/07/27,0.03597993355262069,2020/03/09,0.011662589464288664,2020/02/07,0.1128419478007901,,,,,2021/01/25,0.02774839253541378,2021/09/09,0.02178052529793878,2020/09/08,0.09689333707995174,2021/06/25,0.007375328517826685
2014/04/10,0.27884469164779585,2014/04/07,0.3087526240103142,2014/04/07,0.019825534306352144,2015/03/26,0.13702209953883537,2015/06/24,0.04112464668837501,2016/01/20,0.024970247442106464,2016/03/06,0.023323939238665048,2016/02/01,0.03073232615415128,2016/11/29,0.024352881865815912,2018/12/13,0.01468082117059788,2018/08/11,0.09967148217325905,2020/04/06,0.01149109902643014,2020/02/12,0.1094978842625498,,,,,2021/02/08,0.0271824740904808,2021/09/22,0.01149109902643014,2020/09/23,0.1062567149870246,2021/08/06,0.017664754789335324
2014/04/29,0.2942445329674871,2014/04/29,0.27798723945850345,2014/04/27,0.04930474057422435,2015/04/04,0.09339493214763883,2015/07/06,0.03910105952164494,2016/02/01,0.017047389213044772,2016/04/03,0.03392204829831896,2016/02/17,0.018179226102910784,2016/12/22,0.022809467925089644,2019/01/01,0.0191052744673465,2018/10/09,0.015915552323178872,2020/05/13,0.026513661382832787,2020/02/26,0.13146580935222074,,,,,2021/02/20,0.020108493528818605,2021/10/08,0.01187695251161175,2020/10/24,0.09123415263062196,2021/09/23,0.010462156399279277
2014/05/05,0.2663601877716987,2014/05/05,0.2591575893816427,2014/05/17,0.0358770392899056,2015/04/23,0.1754016595315625,2015/07/25,0.03381915403560387,2016/02/18,0.025381824492966776,2016/04/19,0.016738706424899608,2016/02/29,0.029703383527000415,2017/01/05,0.025767677978148384,2019/01/15,0.01727890130415377,2018/10/29,0.04274523132613761,2020/05/27,0.025381824492966776,2020/03/03,0.16264277095489177,,,,,2021/03/24,0.017793372617729175,2021/10/28,0.013034512967156464,2020/11/08,0.07610869601150433,2021/10/21,0.008575761582836072
2014/05/17,0.3098844609001802,2014/05/17,0.25308682788145265,2014/06/27,0.05563273773120214,2015/05/05,0.06828873204515773,2015/08/03,0.023735516289525416,2016/02/29,0.017356072001190048,2016/05/03,0.03438507248053685,2016/03/19,0.024352881865815912,2017/01/22,0.02610208433197242,2019/01/29,0.04637225408684437,2018/11/12,0.025484718755681923,2020/07/08,0.023838410552240508,2020/03/09,0.13805104216598624,,,,,2021/04/07,0.017921990446123026,2021/11/07,0.01432069125109503,2020/11/22,0.07734342716408532,2021/12/22,0.013857667068877144
